fl.arg,fl.vd,value,se,x,Z
0.882352941,12,7.14058074,3.130317243,10.58823529,2.281104497
0.941176471,12,12.60239832,4.894717553,11.29411765,2.574693674
0,13,-1.017991949,0.267337454,0,-3.807891243
0.058823529,13,1.675299497,0.676600906,0.764705882,2.476052695
0.117647059,13,0.252304841,0.787418944,1.529411765,0.32042008
0.176470588,13,0.13670889,0.599353759,2.294117647,0.228093822
0.235294118,13,0.140578625,1.237293144,3.058823529,0.113617881
0.294117647,13,0.484910743,1.049200872,3.823529412,0.462171503
0.352941176,13,0.520542704,1.102350321,4.588235294,0.472211686
0.411764706,13,-0.233022464,0.750520711,5.352941176,-0.310481057
0.470588235,13,0.415017621,1.393423805,6.117647059,0.297840198
0.529411765,13,0.741317862,0.896544835,6.882352941,0.826860892
0.588235294,13,-0.156540093,1.690550942,7.647058824,-0.092597087
0.647058824,13,-1.513895171,2.050983851,8.411764706,-0.7381312
0.705882353,13,-2.810239431,2.445349826,9.176470588,-1.149217752
0.764705882,13,-2.597229021,2.188432937,9.941176471,-1.186798543
0.823529412,13,1.174716299,2.130131671,10.70588235,0.551475909
0.882352941,13,7.144977131,3.03356246,11.47058824,2.355309055
0.941176471,13,12.59075656,4.83393099,12.23529412,2.604662041
0,14,-1.017991949,0.267337454,0,-3.807891243
0.058823529,14,1.697476787,0.68610181,0.823529412,2.474088776
0.117647059,14,0.27385943,0.798726254,1.647058824,0.3428702
0.176470588,14,0.14502388,0.612655978,2.470588235,0.236713401
0.235294118,14,0.153178455,1.252147182,3.294117647,0.122332628
0.294117647,14,0.501072542,1.062863221,4.117647059,0.471436524
0.352941176,14,0.539953385,1.169866173,4.941176471,0.461551413
0.411764706,14,-0.133569484,0.841029844,5.764705882,-0.158816581
0.470588235,14,0.479879437,1.420319671,6.588235294,0.337867205
0.529411765,14,0.797437437,0.891415955,7.411764706,0.894573888
0.588235294,14,-0.093224294,1.60070597,8.235294118,-0.058239486
0.647058824,14,-1.452845698,1.909908811,9.058823529,-0.760688515
0.705882353,14,-2.765049125,2.344403293,9.882352941,-1.179425542
0.764705882,14,-2.599111567,2.075002881,10.70588235,-1.252582148
0.823529412,14,1.162663986,2.029101966,11.52941176,0.572994362
0.882352941,14,7.150199414,2.977574019,12.35294118,2.401350686
0.941176471,14,12.57922339,4.815095617,13.17647059,2.612455576
0,15,-1.017991949,0.267337454,0,-3.807891243
0.058823529,15,1.716253392,0.694176631,0.882352941,2.472358351
0.117647059,15,0.293009845,0.8082266,1.764705882,0.362534275
0.176470588,15,0.152873721,0.624321081,2.647058824,0.244863942
0.235294118,15,0.164444367,1.265645897,3.529411765,0.129929206
0.294117647,15,0.515344238,1.078766226,4.411764706,0.477716326
0.352941176,15,0.557404374,1.230892921,5.294117647,0.452845544
0.411764706,15,-0.04893594,0.925522006,6.176470588,-0.052873881
0.470588235,15,0.535474543,1.456848728,7.058823529,0.367556722
0.529411765,15,0.844142957,0.923823199,7.941176471,0.913749469
0.588235294,15,-0.039076456,1.539160504,8.823529412,-0.025388162
0.647058824,15,-1.399658837,1.79642908,9.705882353,-0.779133923
0.705882353,15,-2.721527167,2.263277279,10.58823529,-1.202471828
0.764705882,15,-2.589437558,1.985145332,11.47058824,-1.304407046
0.823529412,15,1.160583093,1.955730151,12.35294118,0.593427009
0.882352941,15,7.155213905,2.948281764,13.23529412,2.426909799
0.941176471,15,12.56826441,4.822854429,14.11764706,2.605980462
0,16,-1.017991949,0.267337454,0,-3.807891243
0.058823529,16,1.732329149,0.70111425,0.941176471,2.470822908
0.117647059,16,0.310164521,0.816260298,1.882352941,0.379982368
0.176470588,16,0.160324251,0.634531859,2.823529412,0.252665407
0.235294118,16,0.174814781,1.277593452,3.764705882,0.136831306
0.294117647,16,0.528216558,1.094946764,4.705882353,0.482413004
0.352941176,16,0.573698046,1.284350912,5.647058824,0.446683255
0.411764706,16,0.023323862,1.00139112,6.588235294,0.023291461
0.470588235,16,0.583727848,1.496743627,7.529411765,0.389998552
0.529411765,16,0.883893328,0.974607103,8.470588235,0.906922722
0.588235294,16,0.007672085,1.500019041,9.411764706,0.005114658
0.647058824,16,-1.352983805,1.707211259,10.35294118,-0.79251106
0.705882353,16,-2.680174427,2.195936516,11.29411765,-1.220515442
0.764705882,16,-2.570057274,1.911476528,12.23529412,-1.344540326
0.823529412,16,1.166523564,1.899824324,13.17647059,0.614016543
0.882352941,16,7.159175888,2.935582463,14.11764706,2.438758229
0.941176471,16,12.55802737,4.845207246,15.05882353,2.591845246
0,17,-1.017991949,0.267337454,0,-3.807891243
0.058823529,17,1.746206203,0.707123293,1,2.46945083
0.117647059,17,0.325680473,0.823052973,2,0.39569807
0.176470588,17,0.167469594,0.643414873,3,0.260282442
0.235294118,17,0.184648736,1.287804682,4,0.143382563
0.294117647,17,0.540082127,1.11006288,5,0.486532914
0.352941176,17,0.589516574,1.329704114,6,0.443344176
0.411764706,17,0.084877454,1.067876065,7,0.079482495
0.470588235,17,0.626019697,1.535463867,8,0.407707215
0.529411765,17,0.918309497,1.029579338,9,0.89192689
0.588235294,17,0.048353743,1.476149317,10,0.032756674
0.647058824,17,-1.311888258,1.636672025,11,-0.801558429
0.705882353,17,-2.6412381,2.13712832,12,-1.235881849
0.764705882,17,-2.541368085,1.847505012,13,-1.375567627
0.823529412,17,1.179576006,1.852352157,14,0.636799002
0.882352941,17,7.161085813,2.931835852,15,2.442526177
0.941176471,17,12.54849785,4.872760023,16,2.575234117
