fd.arg,fd.vd,value,se,x,,,,,v2
0.352941176,11,0.389022226,2.809978573,3.882352941,,,,,0.048627778
0.411764706,11,-0.786715037,1.59957888,4.529411765,,,,,-0.09833938
0.470588235,11,3.204427561,3.37524236,5.176470588,,,,,0.400553445
0.529411765,11,6.744603867,2.250128759,5.823529412,,,,,0.843075483
0.588235294,11,5.07382172,4.876344965,6.470588235,,,,,0.634227715
0.647058824,11,3.786467018,6.077923331,7.117647059,,,,,0.473308377
0.705882353,11,4.804599897,6.523346898,7.764705882,,,,,0.600574987
0.764705882,11,7.838100256,5.613028624,8.411764706,,,,,0.979762532
0.823529412,11,12.59924232,5.558371519,9.058823529,,,,,1.57490529
0.882352941,11,18.20766874,6.071325918,9.705882353,,,,,2.275958592
0.941176471,11,23.49903159,8.956458424,10.35294118,,,,,2.937378949
0,12,-0.839561797,0.41587365,0,,,,,-0.104945225
0.058823529,12,0.932799139,1.325953624,0.705882353,,,,,0.116599892
0.117647059,12,-4.136949745,2.040820571,1.411764706,,,,,-0.517118718
0.176470588,12,1.144732364,1.607955543,2.117647059,,,,,0.143091546
0.235294118,12,2.493396181,2.932464127,2.823529412,,,,,0.311674523
0.294117647,12,0.903697056,2.749673849,3.529411765,,,,,0.112962132
0.352941176,12,-0.173011015,2.919964038,4.235294118,,,,,-0.021626377
0.411764706,12,-1.400495961,1.711875308,4.941176471,,,,,-0.175061995
0.470588235,12,2.427512168,3.347924299,5.647058824,,,,,0.303439021
0.529411765,12,5.854928009,2.025585122,6.352941176,,,,,0.731866001
0.588235294,12,4.116971645,4.519541978,7.058823529,,,,,0.514621456
0.647058824,12,2.74144212,5.600229318,7.764705882,,,,,0.342680265
0.705882353,12,3.673578763,6.119255318,8.470588235,,,,,0.459197345
0.764705882,12,6.614471661,5.119403473,9.176470588,,,,,0.826808958
0.823529412,12,11.30206727,5.135482887,9.882352941,,,,,1.412758409
0.882352941,12,16.85254775,5.715920853,10.58823529,,,,,2.106568468
0.941176471,12,22.07174047,8.724230884,11.29411765,,,,,2.758967559
0,13,-0.839561797,0.41587365,0,,,,,-0.104945225
0.058823529,13,0.908375696,1.345679369,0.764705882,,,,,0.113546962
0.117647059,13,-4.189629487,2.065186063,1.529411765,,,,,-0.523703686
0.176470588,13,0.871161299,1.658242567,2.294117647,,,,,0.108895162
0.235294118,13,2.154050533,2.959780812,3.058823529,,,,,0.269256317
0.294117647,13,0.510751383,2.781043108,3.823529412,,,,,0.063843923
0.352941176,13,-0.649361344,3.039758975,4.588235294,,,,,-0.081170168
0.411764706,13,-1.909890393,1.892605117,5.352941176,,,,,-0.238736299
0.470588235,13,1.767412611,3.38089281,6.117647059,,,,,0.220926576
0.529411765,13,5.066434418,1.966626203,6.882352941,,,,,0.633304302
0.588235294,13,3.307985118,4.229211615,7.647058824,,,,,0.41349814
0.647058824,13,1.867154465,5.200277976,8.411764706,,,,,0.233394308
0.705882353,13,2.725218523,5.806117304,9.176470588,,,,,0.340652315
0.764705882,13,5.587298697,4.738446036,9.941176471,,,,,0.698412337
0.823529412,13,10.20927631,4.845705608,10.70588235,,,,,1.276159539
0.882352941,13,15.70553344,5.528112546,11.47058824,,,,,1.96319168
0.941176471,13,20.85935071,8.65163439,12.23529412,,,,,2.607418839
0,14,-0.839561797,0.41587365,0,,,,,-0.104945225
0.058823529,14,0.886411863,1.362177359,0.823529412,,,,,0.110801483
0.117647059,14,-4.234794633,2.085446329,1.647058824,,,,,-0.529349329
0.176470588,14,0.639173874,1.702565136,2.470588235,,,,,0.079896734
0.235294118,14,1.863392301,2.987495625,3.294117647,,,,,0.232924038
0.294117647,14,0.174756602,2.82053602,4.117647059,,,,,0.021844575
0.352941176,14,-1.057331874,3.15760699,4.941176471,,,,,-0.132166484
0.411764706,14,-2.340310651,2.084528193,5.764705882,,,,,-0.292538831
0.470588235,14,1.200984246,3.448823219,6.588235294,,,,,0.150123031
0.529411765,14,4.372195095,2.031048668,7.411764706,,,,,0.546524387
0.588235294,14,2.616390923,4.005938505,8.235294118,,,,,0.327048865
0.647058824,14,1.128414415,4.858083475,9.058823529,,,,,0.141051802
0.705882353,14,1.919150543,5.559628738,9.882352941,,,,,0.239893818
0.764705882,14,4.713627106,4.442613842,10.70588235,,,,,0.589203388
0.823529412,14,9.276628078,4.65015658,11.52941176,,,,,1.15957851
0.882352941,14,14.72201355,5.453160736,12.35294118,,,,,1.840251694
0.941176471,14,19.81702052,8.693054922,13.17647059,,,,,2.477127566
0,15,-0.839561797,0.41587365,0,,,,,-0.104945225
0.058823529,15,0.866622127,1.376175059,0.882352941,,,,,0.108327766
0.117647059,15,-4.27400371,2.102496074,1.764705882,,,,,-0.534250464
0.176470588,15,0.440127862,1.741586913,2.647058824,,,,,0.055015983
0.235294118,15,1.611893435,3.014216107,3.529411765,,,,,0.201486679
0.294117647,15,-0.115745341,2.862363148,4.411764706,,,,,-0.014468168
0.352941176,15,-1.410198829,3.26712295,5.294117647,,,,,-0.176274854
0.411764706,15,-2.709852919,2.267284646,6.176470588,,,,,-0.338731615
0.470588235,15,0.710270778,3.535114515,7.058823529,,,,,0.088783847
0.529411765,15,3.763067397,2.163859101,7.941176471,,,,,0.470383425
0.588235294,15,2.018140214,3.848196717,8.823529412,,,,,0.252267527
0.647058824,15,0.49448012,4.579418931,9.705882353,,,,,0.061810015
0.705882353,15,1.225995387,5.361182103,10.58823529,,,,,0.153249423
0.764705882,15,3.962148465,4.210068406,11.47058824,,,,,0.495268558
