fd.arg,fd.vd,value,se,x,Z
0.529411765,12,6.515265278,1.969383064,6.352941176,3.308277297
0.588235294,12,5.122289474,3.696201287,7.058823529,1.385825359
0.647058824,12,4.611770673,4.523167291,7.764705882,1.019588792
0.705882353,12,6.565254781,5.111253517,8.470588235,1.284470582
0.764705882,12,8.77722293,4.762148891,9.176470588,1.843122324
0.823529412,12,9.736010397,4.446146848,9.882352941,2.189763571
0.882352941,12,10.65205301,3.408775013,10.58823529,3.124891778
0.941176471,12,13.35389807,5.34735365,11.29411765,2.497290986
0,13,-0.945371315,0.641937628,0,-1.472684066
0.058823529,13,0.324361752,1.110158831,0.764705882,0.292175987
0.117647059,13,-3.137625054,1.609098768,1.529411765,-1.94992695
0.176470588,13,0.288031206,1.381332015,2.294117647,0.208516999
0.235294118,13,3.332440701,2.385645476,3.058823529,1.396871721
0.294117647,13,2.981279251,2.022000425,3.823529412,1.474420685
0.352941176,13,0.141124009,2.426373271,4.588235294,0.05816253
0.411764706,13,-3.415854484,1.508843665,5.352941176,-2.263888939
0.470588235,13,0.599954882,2.589435677,6.117647059,0.231693294
0.529411765,13,5.721957893,1.826257558,6.882352941,3.133160417
0.588235294,13,4.319901836,3.42525398,7.647058824,1.261191684
0.647058824,13,3.739819201,4.162353263,8.411764706,0.898486737
0.705882353,13,5.629433381,4.787479726,9.176470588,1.175865738
0.764705882,13,7.782066827,4.377483306,9.941176471,1.777749059
0.823529412,13,8.625450474,4.114940245,10.70588235,2.096130189
0.882352941,13,9.36407903,3.046377455,11.47058824,3.073840707
0.941176471,13,11.97021312,5.138322771,12.23529412,2.329595406
0,14,-0.945371315,0.641937628,0,-1.472684066
0.058823529,14,0.299193024,1.126145326,0.823529412,0.265678876
0.117647059,14,-3.193547741,1.632388878,1.647058824,-1.956364554
0.176470588,14,0.101347761,1.422927231,2.470588235,0.071224837
0.235294118,14,3.09843921,2.392294493,3.294117647,1.295174661
0.294117647,14,2.708490872,2.033319922,4.117647059,1.332053477
0.352941176,14,-0.211476619,2.510574114,4.941176471,-0.084234366
0.411764706,14,-3.796524779,1.688066633,5.764705882,-2.249037274
0.470588235,14,0.061814687,2.636282606,6.588235294,0.023447671
0.529411765,14,5.017350958,1.793493438,7.411764706,2.797529588
0.588235294,14,3.637675484,3.218731677,8.235294118,1.13015804
0.647058824,14,3.006865589,3.857536352,9.058823529,0.779478225
0.705882353,14,4.828671198,4.527815627,9.882352941,1.066446074
0.764705882,14,6.926092547,4.065163136,10.70588235,1.70376743
0.823529412,14,7.674430053,3.870179077,11.52941176,1.982965103
0.882352941,14,8.266049048,2.839030799,12.35294118,2.911574278
0.941176471,14,10.78637639,5.084227125,13.17647059,2.121537084
0,15,-0.945371315,0.641937628,0,-1.472684066
0.058823529,15,0.27679025,1.139793643,0.882352941,0.242842423
0.117647059,15,-3.242046771,1.652287832,1.764705882,-1.962156174
0.176470588,15,-0.058714584,1.459449506,2.647058824,-0.040230637
0.235294118,15,2.894926168,2.400953884,3.529411765,1.205740013
0.294117647,15,2.470359729,2.051178717,4.411764706,1.204361038
0.352941176,15,-0.517027421,2.591845799,5.294117647,-0.199482323
0.411764706,15,-4.120436561,1.858013285,6.176470588,-2.217657212
0.470588235,15,-0.402510634,2.706125354,7.058823529,-0.148740572
0.529411765,15,4.396923042,1.836002227,7.941176471,2.394835353
0.588235294,15,3.04909573,3.073062718,8.823529412,0.992200944
0.647058824,15,2.379208557,3.610798684,9.705882353,0.658914762
0.705882353,15,4.135689304,4.316013677,10.58823529,0.958219694
0.764705882,15,6.180852019,3.808189669,11.47058824,1.623042063
0.823529412,15,6.850475291,3.687684476,12.35294118,1.857663077
0.882352941,15,7.321688769,2.748806395,13.23529412,2.663588379
0.941176471,15,9.76453592,5.132560882,14.11764706,1.902468601
0,16,-0.945371315,0.641937628,0,-1.472684066
0.058823529,16,0.256716006,1.151567117,0.941176471,0.222927524
0.117647059,16,-3.284558754,1.669404832,1.882352941,-1.967502843
0.176470588,16,-0.197398014,1.491537117,2.823529412,-0.132345358
0.235294118,16,2.71621471,2.410180959,3.764705882,1.126975425
0.294117647,16,2.260417924,2.071532875,4.705882353,1.091181295
0.352941176,16,-0.784208285,2.666201362,5.647058824,-0.294129429
0.411764706,16,-4.4000839,2.011816583,6.588235294,-2.187119809
0.470588235,16,-0.8069682,2.785317378,7.529411765,-0.289722172
0.529411765,16,3.851097701,1.918473773,8.470588235,2.007375736
0.588235294,16,2.535888597,2.975897843,9.411764706,0.852142355
0.647058824,16,1.834384954,3.414493234,10.35294118,0.537234907
0.705882353,16,3.530060293,4.139175249,11.29411765,0.852841467
0.764705882,16,5.524756714,3.592495797,12.23529412,1.537860314
0.823529412,16,6.12912017,3.546997844,13.17647059,1.727974033
0.882352941,16,6.50367311,2.738945555,14.11764706,2.37451712
0.941176471,16,8.875284792,5.237293408,15.05882353,1.69463196
0,17,-0.945371315,0.641937628,0,-1.472684066
0.058823529,17,0.23859142,1.161802642,1,0.205363124
0.117647059,17,-3.322185057,1.684166103,2,-1.972599408
0.176470588,17,-0.318595189,1.519692103,3,-0.209644565
0.235294118,17,2.557901852,2.418857929,4,1.057483295
0.294117647,17,2.073598504,2.091538483,5,0.991422592
0.352941176,17,-1.019727353,2.731076396,6,-0.373379285
0.411764706,17,-4.644260244,2.147118195,7,-2.163020301
0.470588235,17,-1.162091797,2.864139969,8,-0.40573848
0.529411765,17,3.370547172,2.013905107,9,1.673637532
0.588235294,17,2.084869162,2.912852341,10,0.715748317
0.647058824,17,1.356598831,3.257481244,11,0.416456375
0.705882353,17,2.996167131,3.985976006,12,0.751677162
0.764705882,17,4.940758048,3.405514112,13,1.450811209
0.823529412,17,5.491428388,3.429577714,14,1.601196662
0.882352941,17,5.791876849,2.77723349,15,2.085484303
0.941176471,17,8.095938178,5.362211046,16,1.509813416
