fl.arg,fl.vd,value,se,x,Z,,,MEAN VALUE,0.90921491
0.235294118,9,0.235116233,0.204550814,2.117647059,-3.295507616,,,,
0.294117647,9,0.264994454,0.197197941,2.647058824,-3.266872577,,,,
0.352941176,9,0.260326396,0.23210747,3.176470588,-2.795638613,,,,
0.411764706,9,0.273232711,0.32656167,3.705882353,-1.947510524,,,,
0.470588235,9,0.355834051,0.472329021,4.235294118,-1.171600566,,,,
0.529411765,9,0.548230415,0.71025191,4.764705882,-0.508248665,,,,
0.588235294,9,0.842439185,1.061256722,5.294117647,-0.062921453,,,,
0.647058824,9,1.21845709,1.501294829,5.823529412,0.205983584,,,,
0.705882353,9,1.65628086,1.999839459,6.352941176,0.373562916,,,,
0.764705882,9,2.137499326,2.541304448,6.882352941,0.483328287,,,,
0.823529412,9,2.650069737,3.131125015,7.411764706,0.555983785,,,,
0.882352941,9,3.183541445,3.767964795,7.941176471,0.60359546,,,,
0.941176471,9,3.727463801,4.43924913,8.470588235,0.634848083,,,,
0,10,-0.450862193,0.285132382,0,-4.769985033,,,,
0.058823529,10,-0.282167863,0.182340858,0.588235294,-6.533822829,,,,
0.117647059,10,-0.12941656,0.160036212,1.176470588,-6.489978393,,,,
0.176470588,10,-0.008551311,0.194569922,1.764705882,-4.716897146,,,,
0.235294118,10,0.064484856,0.210291257,2.352941176,-4.016953235,,,,
0.294117647,10,0.083817173,0.191133019,2.941176471,-4.318447078,,,,
0.352941176,10,0.083843903,0.199655538,3.529411765,-4.133975474,,,,
0.411764706,10,0.109031565,0.273555637,4.117647059,-2.925121356,,,,
0.470588235,10,0.203846682,0.405761205,4.705882353,-1.738382844,,,,
0.529411765,10,0.402184336,0.627718007,5.294117647,-0.807736369,,,,
0.588235294,10,0.695653868,0.952876716,5.882352941,-0.224122521,,,,
0.647058824,10,1.065293179,1.354832417,6.470588235,0.115201096,,,,
0.705882353,10,1.492140172,1.804164845,7.058823529,0.323099729,,,,
0.764705882,10,1.958799534,2.288427081,7.647058824,0.458648887,,,,
0.823529412,10,2.454143085,2.817247933,8.235294118,0.54838201,,,,
0.882352941,10,2.968609428,3.3922652,8.823529412,0.607085327,,,,
0.941176471,10,3.492637167,4.002305239,9.411764706,0.645483543,,,,
0,11,-0.41651751,0.325071384,0,-4.078281183,,,,
0.058823529,11,-0.31337646,0.207380955,0.647058824,-5.895389289,,,,
0.117647059,11,-0.220454725,0.173773094,1.294117647,-6.500832183,,,,
0.176470588,11,-0.147971624,0.20817475,1.941176471,-5.078361448,,,,
0.235294118,11,-0.106146471,0.226325517,2.588235294,-4.486288083,,,,
0.294117647,11,-0.09735997,0.201742216,3.235294118,-4.989411683,,,,
0.352941176,11,-0.092638367,0.188196077,3.882352941,-5.323455111,,,,
0.411764706,11,-0.055169295,0.236770011,4.529411765,-4.07308464,,,,
0.470588235,11,0.051859612,0.34821359,5.176470588,-2.462153725,,,,
0.529411765,11,0.256138512,0.548148868,5.823529412,-1.191421757,,,,
0.588235294,11,0.54886872,0.845817521,6.470588235,-0.426033123,,,,
0.647058824,11,0.912129341,1.210299443,7.117647059,0.00240795,,,,
0.705882353,11,1.32799948,1.610683902,7.764705882,0.260004138,,,,
0.764705882,11,1.780099699,2.036948194,8.411764706,0.427543862,,,,
0.823529412,11,2.258216385,2.504372502,9.058823529,0.53865844,,,,
0.882352941,11,2.753677382,3.018754974,9.705882353,0.611001025,,,,
0.941176471,11,3.257810536,3.570410554,10.35294118,0.657794251,,,,
0,12,-0.38217299,0.366079827,0,-3.52761309,,,,
0.058823529,12,-0.344585185,0.23324253,0.705882353,-5.375521286,,,,
0.117647059,12,-0.311492982,0.190872008,1.411764706,-6.395426946,,,,
0.176470588,12,-0.287391983,0.227648301,2.117647059,-5.256384416,,,,
0.235294118,12,-0.276777789,0.250685739,2.823529412,-4.730994256,,,,
0.294117647,12,-0.278537037,0.226695915,3.529411765,-5.239406441,,,,
0.352941176,12,-0.269120494,0.201344971,4.235294118,-5.852321457,,,,
0.411764706,12,-0.219369964,0.224330546,4.941176471,-5.030901863,,,,
0.470588235,12,-0.100127248,0.304837735,5.647058824,-3.311080396,,,,
0.529411765,12,0.110092873,0.473042728,6.352941176,-1.689323353,,,,
0.588235294,12,0.402083704,0.740652003,7.058823529,-0.684709275,,,,
0.647058824,12,0.758965572,1.068479095,7.764705882,-0.140619904,,,,
0.705882353,12,1.163858803,1.420293351,8.470588235,0.179289584,,,,
0.764705882,12,1.60139985,1.78745809,9.176470588,0.387245359,,,,
0.823529412,12,2.062289665,2.192927456,9.882352941,0.525815235,,,,
0.882352941,12,2.538745325,2.648360565,10.58823529,0.615297761,,,,
0.941176471,12,3.022983908,3.145645469,11.29411765,0.671966669,,,,
0,13,-0.347828628,0.407834806,0,-3.082237245,,,,
0.058823529,13,-0.375794042,0.259679291,0.764705882,-4.948446354,,,,
0.117647059,13,-0.402531341,0.210513983,1.529411765,-6.231160151,,,,
0.176470588,13,-0.426812411,0.25163065,2.294117647,-5.309478046,,,,
0.235294118,13,-0.447409137,0.281215564,3.058823529,-4.824143153,,,,
0.294117647,13,-0.459714087,0.261924839,3.823529412,-5.226419494,,,,
0.352941176,13,-0.445602558,0.235005959,4.588235294,-5.765034903,,,,
0.411764706,13,-0.383570532,0.240051008,5.352941176,-5.385461787,,,,
0.470588235,13,-0.252113988,0.282243846,6.117647059,-4.114629976,,,,
0.529411765,13,-0.035952651,0.40489033,6.882352941,-2.33437941,,,,
0.588235294,13,0.255298781,0.638316536,7.647058824,-1.024438788,,,,
0.647058824,13,0.605801866,0.930612137,8.411764706,-0.326036081,,,,
0.705882353,13,0.999718162,1.234423742,9.176470588,0.073316123,,,,
0.764705882,13,1.42270002,1.54092292,9.941176471,0.333232125,,,,
0.823529412,13,1.866362954,1.883622333,10.70588235,0.508142178,,,,
0.882352941,13,2.323813273,2.282599189,11.47058824,0.619731348,,,,
0.941176471,13,2.788157284,2.731338187,12.23529412,0.687920043,,,,
0,14,-0.313484401,0.450128318,0,-2.716335214,,,,
0.058823529,14,-0.407003014,0.286531694,0.823529412,-4.593621032,,,,
0.117647059,14,-0.493569793,0.232053625,1.647058824,-6.045088909,,,,
0.176470588,14,-0.566232907,0.278960782,2.470588235,-5.289087227,,,,
0.235294118,14,-0.618040522,0.316131958,3.294117647,-4.831069701,,,,
0.294117647,14,-0.64089114,0.303875346,4.117647059,-5.101125042,,,,
0.352941176,14,-0.62208459,0.281924236,4.941176471,-5.431599676,,,,
0.411764706,14,-0.547771039,0.279213879,5.764705882,-5.218171981,,,,
0.470588235,14,-0.40410065,0.285409971,6.588235294,-4.601505843,,,,
0.529411765,14,-0.181998096,0.347803213,7.411764706,-3.137443981,,,,
0.588235294,14,0.108513927,0.540420939,8.235294118,-1.481624814,,,,
0.647058824,14,0.452638213,0.798748088,9.058823529,-0.571615499,,,,
0.705882353,14,0.835577558,1.055466025,9.882352941,-0.069767705,,,,
0.764705882,14,1.244000212,1.299026021,10.70588235,0.257720174,,,,
0.823529412,14,1.670436257,1.577716095,11.52941176,0.48248304,,,,
0.882352941,14,2.108881229,1.924114695,12.35294118,0.623489978,,,,
0.941176471,14,2.553330664,2.333066574,13.17647059,0.704701564,,,,
0,15,-0.279140277,0.492821833,0,-2.411328388,,,,
0.058823529,15,-0.438212071,0.313693306,0.882352941,-4.295364438,,,,
0.117647059,15,-0.584608314,0.255010903,1.764705882,-5.857880169,,,,
0.176470588,15,-0.705653453,0.308751176,2.647058824,-5.230323244,,,,
0.235294118,15,-0.788671935,0.354139858,3.529411765,-4.794396619,,,,
0.294117647,15,-0.822068195,0.350139663,4.411764706,-4.944550355,,,,
0.352941176,15,-0.798566599,0.336600807,5.294117647,-5.073611123,,,,
0.411764706,15,-0.711971501,0.333664207,6.176470588,-4.858736615,,,,
0.470588235,15,-0.556087255,0.313556642,7.058823529,-4.673166048,,,,
