banner.arg,banner.vd,value,se,x,Z
0.058823529,11,-0.711922945,0.664134312,0.647058824,-1.071956277
0.117647059,11,-2.233746109,1.195396296,1.294117647,-1.868623916
0.176470588,11,1.184100626,0.752637136,1.941176471,1.573268936
0.235294118,11,1.371220527,1.519522755,2.588235294,0.902402101
0.294117647,11,1.357293782,1.294979431,3.235294118,1.048119954
0.352941176,11,1.304830274,1.343581336,3.882352941,0.971158381
0.411764706,11,-1.420441983,1.104663191,4.529411765,-1.285859794
0.470588235,11,2.549440908,1.800381053,5.176470588,1.416056286
0.529411765,11,5.299797212,1.39377512,5.823529412,3.80247655
0.588235294,11,4.175555308,2.714315803,6.470588235,1.538345429
0.647058824,11,3.519578569,3.557773638,7.117647059,0.989264334
0.705882353,11,4.985978515,4.027451484,7.764705882,1.237998405
0.764705882,11,7.468671969,3.623731064,8.411764706,2.061044773
0.823529412,11,9.194225626,3.297667932,9.058823529,2.788099292
0.882352941,11,10.25061235,3.743150856,9.705882353,2.738498325
0.941176471,11,11.242177,5.45571161,10.35294118,2.060625231
0,12,-0.652761822,0.242646059,0,-2.69018102
0.058823529,12,-0.74476532,0.679672006,0.705882353,-1.095771658
0.117647059,12,-2.312855108,1.22966457,1.411764706,-1.880882937
0.176470588,12,0.999001818,0.768304194,2.117647059,1.300268599
0.235294118,12,1.109480052,1.549136959,2.823529412,0.716192358
0.294117647,12,1.011773875,1.31177551,3.529411765,0.771301085
0.352941176,12,0.893500074,1.388591988,4.235294118,0.643457605
0.411764706,12,-1.804767423,1.142763437,4.941176471,-1.579300987
0.470588235,12,1.979291351,1.780323713,5.647058824,1.111759247
0.529411765,12,4.636244956,1.228904377,6.352941176,3.772665346
0.588235294,12,3.455774259,2.479354783,7.058823529,1.39381999
0.647058824,12,2.732590685,3.261263211,7.764705882,0.837893328
0.705882353,12,4.159053003,3.763180797,8.470588235,1.10519617
0.764705882,12,6.635340223,3.312682132,9.176470588,2.003011444
0.823529412,12,8.310623522,3.027806501,9.882352941,2.744767052
0.882352941,12,9.296371113,3.621074674,10.58823529,2.567296162
0.941176471,12,10.25147971,5.435358813,11.29411765,1.886072302
0,13,-0.652761822,0.242646059,0,-2.69018102
0.058823529,13,-0.773154671,0.692723316,0.764705882,-1.116108919
0.117647059,13,-2.379077322,1.257924319,1.529411765,-1.891272222
0.176470588,13,0.841410547,0.784143049,2.294117647,1.073031952
0.235294118,13,0.888787685,1.577888628,3.058823529,0.563276564
0.294117647,13,0.720318509,1.342166842,3.823529412,0.536683284
0.352941176,13,0.540755955,1.451627638,4.588235294,0.372516988
0.411764706,13,-2.117105376,1.216865664,5.352941176,-1.739802049
0.470588235,13,1.489399681,1.800691683,6.117647059,0.827126429
0.529411765,13,4.047755082,1.153962013,6.882352941,3.507702191
0.588235294,13,2.843484036,2.288115728,7.647058824,1.242718627
0.647058824,13,2.073394374,3.013112653,8.411764706,0.688123749
0.705882353,13,3.46246002,3.553124003,9.176470588,0.974483305
0.764705882,13,5.928551706,3.06337112,9.941176471,1.935303126
0.823529412,13,7.560678315,2.835516554,10.70588235,2.666420094
0.882352941,13,8.48947448,3.58238549,11.47058824,2.369782511
0.941176471,13,9.42524114,5.481003953,12.23529412,1.719619475
0,14,-0.652761822,0.242646059,0,-2.69018102
0.058823529,14,-0.797889669,0.70384762,0.823529412,-1.133611377
0.117647059,14,-2.435396233,1.281648885,1.647058824,-1.900205478
0.176470588,14,0.705799583,0.799601585,2.470588235,0.882689075
0.235294118,14,0.700273087,1.605091082,3.294117647,0.436282461
0.294117647,14,0.47138079,1.37859986,4.117647059,0.3419272
0.352941176,14,0.236542489,1.520182552,4.941176471,0.155601371
0.411764706,14,-2.378345369,1.301478183,5.764705882,-1.827418546
0.470588235,14,1.066540418,1.844241718,6.588235294,0.578308368
0.529411765,14,3.529969756,1.153995704,7.411764706,3.058910656
0.588235294,14,2.318312156,2.140073618,8.235294118,1.083286171
0.647058824,14,1.51568819,2.801194604,9.058823529,0.541086359
0.705882353,14,2.868276482,3.383659751,9.882352941,0.847684665
0.764705882,14,5.320685286,2.861079997,10.70588235,1.859677217
0.823529412,14,6.915679597,2.699817083,11.52941176,2.561536351
0.882352941,14,7.798286786,3.595047763,12.35294118,2.169174737
0.941176471,14,8.720858268,5.570343208,13.17647059,1.565587243
0,15,-0.652761822,0.242646059,0,-2.69018102
0.058823529,15,-0.819621252,0.71344316,0.882352941,-1.148824878
0.117647059,15,-2.48390136,1.301808525,1.764705882,-1.908038942
0.176470588,15,0.587951714,0.814298598,2.647058824,0.72203454
0.235294118,15,0.537498702,1.630178765,3.529411765,0.329717644
0.294117647,15,0.256539129,1.416364459,4.411764706,0.181125082
0.352941176,15,-0.027770951,1.587295015,5.294117647,-0.017495772
0.411764706,15,-2.601783628,1.385893245,6.176470588,-1.877333365
0.470588235,15,0.699426634,1.89962972,7.058823529,0.368191036
0.529411765,15,3.075992929,1.202499551,7.941176471,2.557999233
0.588235294,15,1.863963707,2.033878735,8.823529412,0.916457641
0.647058824,15,1.037476525,2.627525841,9.705882353,0.394849218
0.705882353,15,2.356001752,3.244325818,10.58823529,0.726191475
0.764705882,15,4.791475322,2.694354019,11.47058824,1.778339182
0.823529412,15,6.35457809,2.603906479,12.35294118,2.440401812
0.882352941,15,7.199720608,3.636802295,13.23529412,1.979684355
0.941176471,15,8.110897296,5.682578161,14.11764706,1.42732701
0,16,-0.652761822,0.242646059,0,-2.69018102
