fd.arg,fd.vd,value,se,x,Z,,,MEAN VALUE,14.15067775
0.588235294,12,7.950805255,4.193657163,7.058823529,-1.478393322,,,,
0.647058824,12,12.03208679,6.276475059,7.764705882,-0.33754507,,,,
0.705882353,12,16.701428,8.013104913,8.470588235,0.318322052,,,,
0.764705882,12,21.75992669,9.54640607,9.176470588,0.797079721,,,,
0.823529412,12,27.09424935,11.88424772,9.882352941,1.089136617,,,,
0.882352941,12,32.61245466,15.52940342,10.58823529,1.188827038,,,,
0.941176471,12,38.2226013,20.17770546,11.29411765,1.19299597,,,,
0,13,-8.524110648,6.617579336,0,-3.426447874,,,,
0.058823529,13,-6.044632782,4.8359417,0.764705882,-4.1760869,,,,
0.117647059,13,-3.753978494,3.628866946,1.529411765,-4.933952873,,,,
0.176470588,13,-1.84097136,3.074587382,2.294117647,-5.201234953,,,,
0.235294118,13,-0.494434958,2.713610722,3.058823529,-5.396910779,,,,
0.294117647,13,0.204931312,2.191095099,3.823529412,-6.364739117,,,,
0.352941176,13,0.60892476,2.056117647,4.588235294,-6.586079964,,,,
0.411764706,13,1.17746687,2.450641655,5.352941176,-5.293802585,,,,
0.470588235,13,2.37047913,2.663947427,6.117647059,-4.422084592,,,,
0.529411765,13,4.521177319,2.883638286,6.882352941,-3.339358729,,,,
0.588235294,13,7.455954385,4.245201846,7.647058824,-1.577009965,,,,
0.647058824,13,10.87449757,6.075147861,8.411764706,-0.539276163,,,,
0.705882353,13,14.47649411,7.342978562,9.176470588,0.044370838,,,,
0.764705882,13,18.01655253,7.79142141,9.941176471,0.496170381,,,,
0.823529412,13,21.46896639,8.461334776,10.70588235,0.864909212,,,,
0.882352941,13,24.86295056,10.45613178,11.47058824,1.024496514,,,,
0.941176471,13,28.22771987,13.76970952,12.23529412,1.022319305,,,,
0,14,-9.316889191,7.753589533,0,-3.026671594,,,,
0.058823529,14,-6.872723426,5.642893236,0.823529412,-3.7256426,,,,
0.117647059,14,-4.593456903,4.205106272,1.647058824,-4.457470439,,,,
0.176470588,14,-2.643988863,3.55360549,2.470588235,-4.726092671,,,,
0.235294118,14,-1.189218548,3.172931935,3.294117647,-4.834613179,,,,
0.294117647,14,-0.300977853,2.670584571,4.117647059,-5.411421159,,,,
0.352941176,14,0.321170719,2.655156089,4.941176471,-5.208548507,,,,
0.411764706,14,1.07073201,3.203042015,5.764705882,-4.083601753,,,,
0.470588235,14,2.341210863,3.508377977,6.588235294,-3.366076635,,,,
0.529411765,14,4.397441196,3.574479,7.411764706,-2.728576333,,,,
0.588235294,14,6.989573221,4.575796691,8.235294118,-1.564996712,,,,
0.647058824,14,9.739086224,6.102631216,9.058823529,-0.722900274,,,,
0.705882353,14,12.26745949,6.908372318,9.882352941,-0.272599741,,,,
0.764705882,14,14.28424495,6.359028993,10.70588235,0.021003985,,,,
0.823529412,14,15.85128507,5.490224649,11.52941176,0.309751454,,,,
0.882352941,14,17.11849496,6.508596587,12.35294118,0.455983855,,,,
0.941176471,14,18.23578975,9.774112957,13.17647059,0.417951968,,,,
0,15,-10.1268494,8.969966023,0,-2.706535269,,,,
0.058823529,15,-7.71385417,6.49281627,0.882352941,-3.367496208,,,,
0.117647059,15,-5.441509748,4.798283451,1.764705882,-4.083166396,,,,
0.176470588,15,-3.45046694,4.046586281,2.647058824,-4.349628482,,,,
0.235294118,15,-1.881376554,3.663429741,3.529411765,-4.376242397,,,,
0.294117647,15,-0.797156337,3.214165514,4.411764706,-4.650611885,,,,
0.352941176,15,0.0502082,3.352763522,5.294117647,-4.205626704,,,,
0.411764706,15,0.986464607,4.070007959,6.176470588,-3.234444631,,,,
0.470588235,15,2.337360432,4.471872403,7.058823529,-2.641694239,,,,
0.529411765,15,4.298456951,4.436234759,7.941176471,-2.220852499,,,,
0.588235294,15,6.54457034,5.119413055,8.823529412,-1.485738615,,,,
0.647058824,15,8.6203305,6.32797366,9.705882353,-0.873952674,,,,
0.705882353,15,10.07036733,6.719743268,10.58823529,-0.607212583,,,,
0.764705882,15,10.56025132,5.457973418,11.47058824,-0.657831837,,,,
0.823529412,15,10.23931524,4.042469122,12.35294118,-0.967568247,,,,
0.882352941,15,9.377832443,6.311807817,13.23529412,-0.756177579,,,,
0.941176471,15,8.246076292,11.17206446,14.11764706,-0.528515005,,,,
0,16,-10.94826405,10.2513366,0,-2.448358202,,,,
0.058823529,16,-8.563678314,7.37989107,0.941176471,-3.07787176,,,,
0.117647059,16,-6.295278883,5.413752631,1.882352941,-3.77667032,,,,
0.176470588,16,-4.259252067,4.567364371,2.823529412,-4.030756158,,,,
0.235294118,16,-2.57178417,4.199619438,3.764705882,-3.981899888,,,,
0.294117647,16,-1.286847701,3.82590728,4.705882353,-4.034997863,,,,
0.352941176,16,-0.209559971,4.134723705,5.647058824,-3.473083329,,,,
0.411764706,16,0.917175508,5.028604414,6.588235294,-2.631645562,,,,
0.470588235,16,2.350455225,5.524042158,7.529411765,-2.136157625,,,,
0.529411765,16,4.215973957,5.404657217,8.470588235,-1.838175049,,,,
0.588235294,16,6.113819647,5.814053623,9.411764706,-1.382316173,,,,
0.647058824,16,7.512678524,6.71827092,10.35294118,-0.988052068,,,,
0.705882353,16,7.88123682,6.78008786,11.29411765,-0.924684652,,,,
0.764705882,16,6.841800325,5.33691901,12.23529412,-1.369494208,,,,
0.823529412,16,4.631153068,5.467653214,13.17647059,-1.741062675,,,,
0.882352941,16,1.639698636,10.07677266,14.11764706,-1.241566302,,,,
0.941176471,16,-1.742159384,16.65705988,15.05882353,-0.954120325,,,,
0,17,-11.77540592,11.57667771,0,-2.239510036,,,,
0.058823529,17,-9.417849157,8.293712132,1,-2.841734652,,,,
0.117647059,17,-7.151906164,6.050513105,2,-3.520790022,,,,
0.176470588,17,-5.069190718,5.119052313,3,-3.754575953,,,,
0.235294118,17,-3.261316591,4.780827737,4,-3.64204643,,,,
0.294117647,17,-1.773295505,4.493290797,5,-3.543945012,,,,
0.352941176,17,-0.463730969,4.976043374,6,-2.936954096,,,,
0.411764706,17,0.855375561,6.049186725,7,-2.197866431,,,,
0.470588235,17,2.372022629,6.634118416,8,-1.775466857,,,,
0.529411765,17,4.141741589,6.43647456,9,-1.555034253,,,,
0.588235294,17,5.690195048,6.609205714,10,-1.280106161,,,,
0.647058824,17,6.410578421,7.240474888,11,-1.069004685,,,,
0.705882353,17,5.696087126,7.075933441,12,-1.194837818,,,,
0.764705882,17,3.126120646,6.033862079,13,-1.827114908,,,,
0.823529412,17,-0.975105271,8.407622869,14,-1.799056107,,,,
0.882352941,17,-6.097170815,15.07951753,15,-1.342738637,,,,
0.941176471,17,-11.72965617,23.52669573,16,-1.100041266,,,,
