banner.arg,banner.vd,value,se,x,Z,,mean value,3.61386314
0.647058824,3,11.43793086,6.101198677,1.941176471,1.282382058,,,
0.705882353,3,12.63559406,6.961439127,2.117647059,1.29595774,,,
0.764705882,3,13.86235445,7.866462115,2.294117647,1.302808195,,,
0.823529412,3,15.11259583,8.8334495,2.470588235,1.301726205,,,
0.882352941,3,16.37849121,9.874083266,2.647058824,1.292740574,,,
0.941176471,3,17.65221357,10.98274863,2.823529412,1.278218314,,,
0,4,-1.289867398,0.509647519,0,-9.621807917,,,
0.058823529,4,0.023012185,0.087299632,0.235294118,-41.13248693,,,
0.117647059,4,1.304909303,0.398048719,0.470588235,-5.800681495,,,
0.176470588,4,2.524841493,0.79149572,0.705882353,-1.375903393,,,
0.235294118,4,3.65182629,1.171643937,0.941176471,0.03240161,,,
0.294117647,4,4.666681716,1.601579656,1.176470588,0.657362606,,,
0.352941176,4,5.597427727,2.121238474,1.411764706,0.935097402,,,
0.411764706,4,6.483884764,2.701111189,1.647058824,1.062533685,,,
0.470588235,4,7.365873269,3.29187828,1.882352941,1.139777905,,,
0.529411765,4,8.277758701,3.8808189,2.117647059,1.201781294,,,
0.588235294,4,9.232086589,4.515910809,2.352941176,1.244095308,,,
0.647058824,4,10.23594748,5.220888355,2.588235294,1.268382675,,,
0.705882353,4,11.29643192,5.985675254,2.823529412,1.283492413,,,
0.764705882,4,12.41679394,6.798776245,3.058823529,1.294781661,,,
0.823529412,4,13.58494153,7.67518738,3.294117647,1.299131591,,,
0.882352941,4,14.78494617,8.62763636,3.529411765,1.294802257,,,
0.941176471,4,16.00087933,9.650523826,3.764705882,1.283558946,,,
0,5,-1.337258777,0.876650518,0,-5.647771623,,,
0.058823529,5,-0.049440322,0.213348832,0.294117647,-17.17048758,,,
0.117647059,5,1.198136638,0.496549883,0.588235294,-4.8650228,,,
0.176470588,5,2.365230612,1.036407926,0.882352941,-1.204769374,,,
0.235294118,5,3.411600105,1.469163052,1.176470588,-0.137672285,,,
0.294117647,5,4.312337353,1.829767861,1.470588235,0.381728321,,,
0.352941176,5,5.103869507,2.200278629,1.764705882,0.677189855,,,
0.411764706,5,5.837957445,2.602001837,2.058823529,0.854762773,,,
0.470588235,5,6.566362048,3.008848908,2.352941176,0.981271907,,,
0.529411765,5,7.333339497,3.420933053,2.647058824,1.087269555,,,
0.588235294,5,8.15312719,3.905483192,2.941176471,1.162279756,,,
0.647058824,5,9.032457824,4.492537019,3.235294118,1.206132451,,,
0.705882353,5,9.978064098,5.159641278,3.529411765,1.233458028,,,
0.764705882,5,10.99251458,5.882063255,3.823529412,1.254432522,,,
0.823529412,5,12.06172132,6.678416427,4.117647059,1.264949299,,,
0.882352941,5,13.16743223,7.567793772,4.411764706,1.26239818,,,
0.941176471,5,14.29139522,8.544988182,4.705882353,1.249566629,,,
0,6,-1.153081395,1.167544167,0,-4.082881548,,,
0.058823529,6,-0.122428161,0.439419608,0.352941176,-8.502786933,,,
0.117647059,6,0.881882392,0.451027289,0.705882353,-6.057240467,,,
0.176470588,6,1.833507585,1.007543122,1.058823529,-1.767026657,,,
0.235294118,6,2.706104736,1.45211244,1.411764706,-0.625129555,,,
0.294117647,6,3.483783987,1.776673377,1.764705882,-0.073215007,,,
0.352941176,6,4.192466762,2.064166332,2.117647059,0.280308623,,,
0.411764706,6,4.868527308,2.355142833,2.470588235,0.53273379,,,
0.470588235,6,5.548339872,2.642357881,2.823529412,0.73210247,,,
0.529411765,6,6.262870531,2.939361864,3.176470588,0.901218534,,,
0.588235294,6,7.021452691,3.323290373,3.529411765,1.025366179,,,
0.647058824,6,7.828011589,3.82663328,3.882352941,1.101267914,,,
0.705882353,6,8.686472463,4.420544099,4.235294118,1.147507911,,,
0.764705882,6,9.597780211,5.076751569,4.588235294,1.17869015,,,
0.823529412,6,10.55095837,5.820825439,4.941176471,1.191771734,,,
0.882352941,6,11.53205013,6.67567077,5.294117647,1.186126049,,,
0.941176471,6,12.5270987,7.63321357,5.647058824,1.167691101,,,
0,7,-0.759850246,1.428144038,0,-3.062515594,,,
0.058823529,7,-0.135006324,0.699209992,0.411764706,-5.36157879,,,
0.117647059,7,0.491245693,0.360686373,0.823529412,-8.657431175,,,
0.176470588,7,1.1203139,0.778850602,1.235294118,-3.201575799,,,
0.235294118,7,1.753606392,1.183723856,1.647058824,-1.571529321,,,
