fl.arg,fl.vd,value,se,x,Z
0.941176471,9,4.858036318,2.470050328,8.470588235,1.966776249
0,10,-0.845810306,0.295186456,0,-2.865342526
0.058823529,10,0.876401706,0.483063601,0.588235294,1.814257385
0.117647059,10,0.168939589,0.510560315,1.176470588,0.330890561
0.176470588,10,-0.118170297,0.445091973,1.764705882,-0.265496355
0.235294118,10,0.176358046,0.784945772,2.352941176,0.224675452
0.294117647,10,0.786008214,0.707266355,2.941176471,1.11133268
0.352941176,10,0.853382805,0.709809985,3.529411765,1.202269373
0.411764706,10,-1.096510817,0.4502058,4.117647059,-2.435576837
0.470588235,10,-0.446565357,0.96107192,4.705882353,-0.464653423
0.529411765,10,0.229256102,0.871726258,5.294117647,0.262990933
0.588235294,10,-0.174768323,1.439465063,5.882352941,-0.121411993
0.647058824,10,-0.827637469,1.77381852,6.470588235,-0.4665852
0.705882353,10,-1.145127809,1.966334212,7.058823529,-0.582366824
0.764705882,10,-0.757320853,1.871811439,7.647058824,-0.404592491
0.823529412,10,0.524891663,1.843908405,8.235294118,0.284662547
0.882352941,10,2.523481221,1.633202638,8.823529412,1.545112139
0.941176471,10,4.803089015,2.140116036,9.411764706,2.244312427
0,11,-0.845810306,0.295186456,0,-2.865342526
0.058823529,11,0.900323174,0.497136535,0.647058824,1.81101792
0.117647059,11,0.179605145,0.523419597,1.294117647,0.343137984
0.176470588,11,-0.114380298,0.456197869,1.941176471,-0.250725192
0.235294118,11,0.197292696,0.787217343,2.588235294,0.250620362
0.294117647,11,0.816148839,0.688351869,3.235294118,1.185656459
0.352941176,11,0.886611085,0.740094126,3.882352941,1.19797071
0.411764706,11,-0.975450856,0.439092994,4.529411765,-2.22151314
0.470588235,11,-0.377137053,0.905792151,5.176470588,-0.416361582
0.529411765,11,0.290504981,0.734724852,5.823529412,0.395392888
0.588235294,11,-0.129374751,1.304129327,6.470588235,-0.099203928
0.647058824,11,-0.798258378,1.602988407,7.117647059,-0.497981379
0.705882353,11,-1.136766295,1.803452551,7.764705882,-0.630327809
0.764705882,11,-0.77435332,1.670931262,8.411764706,-0.463426197
0.823529412,11,0.491093637,1.65086389,9.058823529,0.297476758
0.882352941,11,2.474558491,1.384834386,9.705882353,1.786898503
0.941176471,11,4.753254498,1.923330346,10.35294118,2.471366662
0,12,-0.845810306,0.295186456,0,-2.865342526
0.058823529,12,0.919446818,0.508488703,0.705882353,1.808195172
0.117647059,12,0.189459447,0.533814518,1.411764706,0.35491625
0.176470588,12,-0.109806595,0.465341227,2.117647059,-0.235970055
0.235294118,12,0.214208513,0.79037858,2.823529412,0.27102014
0.294117647,12,0.840519292,0.679885196,3.529411765,1.2362665
0.352941176,12,0.908561879,0.778066893,4.235294118,1.167716925
0.411764706,12,-0.861190717,0.477592008,4.941176471,-1.803193316
0.470588235,12,-0.320567355,0.879772574,5.647058824,-0.364375254
0.529411765,12,0.332754943,0.637348575,6.352941176,0.522092551
