"PlantID","flw_date","mean_FL","sd_FL","var_FL","mean_FD","sd_FD","var_FD","mean_B","sd_B","var_B","mean_flw_vol","sd_flw_vol","var_flw_vol"
2,2,11.2128571428571,0.465285370703267,0.216490476190476,2.97857142857143,0.661700550889614,0.437847619047619,6.03714285714286,1.29016425679981,1.66452380952381,27.1757831561429,10.9368540973336,119.614777546363
2,3,9.89,1.03508453761033,1.0714,2.56333333333333,0.658169177846142,0.433186666666667,5.43666666666667,0.984899318035436,0.970026666666666,18.5808429053333,10.6614250553226,113.665984210261
2,7,8.92666666666667,0.257164020293146,0.0661333333333334,2.44,0.0556776436283001,0.00309999999999999,4.42333333333333,0.287460142164672,0.0826333333333334,13.90779973,0.348820286006985,0.121675591929995
2,8,8.395,0.176776695296637,0.03125,2.39,0.0848528137423858,0.00720000000000001,3.68,0.523259018078045,0.2738,12.571373845,1.15594404798158,1.33620664206403
2,15,8.3,0.212132034355964,0.0449999999999997,2.72,0.381837661840736,0.1458,3.945,0.190918830920368,0.03645,16.176955355,4.09868378031493,16.7992087310167
2,16,7.51,0.427901857906693,0.1831,2.49,0.0866025403784438,0.00749999999999999,3.56,0.382230297072328,0.1461,12.1876586033333,0.885835961110347,0.784705349996293
3,1,11.17,1.27980467259657,1.6379,5.756,1.27272542207658,1.61983,8.012,0.942719470468283,0.88872,99.077680216,42.3260341815425,1791.49316953711
3,2,11.82,0.620290254638907,0.38476,3.49333333333333,0.531250098039207,0.282226666666667,7.55166666666667,1.08889699543468,1.18569666666667,38.754516445,13.7153439316305,188.110659162913
3,3,10.05,0.631136540958716,0.398333333333333,3.0725,0.151520075677559,0.0229583333333333,5.525,0.941541289588513,0.8865,24.9418520425,3.38743810705217,11.4747369291092
3,4,9.74166666666667,0.746790912281789,0.557696666666667,3.07333333333333,0.0602218122167265,0.00362666666666667,5.905,0.894354515838099,0.79987,24.0898370866667,1.98125101597605,3.92535558830612
3,5,9.216,0.784748367312733,0.61583,2.594,0.200074985942771,0.04003,4.594,0.395638724090552,0.15653,16.157875168,1.38620938557948,1.92157646066863
3,6,8.48,0.846108740056501,0.7159,2.48333333333333,0.17925772879665,0.0321333333333333,4.54333333333333,0.352751092604025,0.124433333333333,13.62240618,0.968513336749285,0.938018083461234
3,8,9.73,NA,NA,2.34,NA,NA,4.61,NA,NA,13.94802814,NA,NA
3,9,8.815,0.0777817459305198,0.00604999999999994,2.58,0.226274169979695,0.0512000000000001,3.415,0.0494974746830585,0.00245000000000002,15.432337785,2.83054870671926,8.01200598111006
3,10,8.1075,0.436606229914325,0.190625,2.175,0.110905365064094,0.0123,3.71,0.324345494804537,0.1052,10.10114274175,1.55170882028442,2.40780026294847
4,1,10.83,1.51320851173921,2.2898,5.07,0.254558441227157,0.0648000000000001,6.27,0.113137084989847,0.0127999999999999,73.483864335,17.5145061743266,306.757926530525
4,2,11.08,0.686818753384035,0.47172,2.98,0.282701255745354,0.07992,5.91833333333333,0.885853637271229,0.784736666666666,26.1212164083333,5.71239367828914,32.6314415357577
4,3,10.0483333333333,0.343535539161041,0.118016666666667,2.885,0.152545075305629,0.02327,4.92166666666667,0.171512876095839,0.0294166666666668,21.901960375,1.90556973868554,3.63119602899409
4,4,8.862,0.605285056812077,0.366369999999999,2.766,0.420392673580309,0.17673,5.512,0.394613735189235,0.15572,18.118815068,5.61214899868474,31.4962163834381
4,5,8.74,0.395979797464466,0.156799999999999,2.195,0.0777817459305201,0.00604999999999999,4.76,0.15556349186104,0.0241999999999999,11.04886286,1.28109199925918,1.64119671056589
5,1,10.885,0.940452018978108,0.88445,5.295,0.233345237791561,0.05445,7.345,3.3587572106361,11.28125,80.278449635,13.951614745436,194.647554005066
5,2,9.5075,0.864383209770605,0.747158333333333,3.0375,0.382306595984602,0.146158333333333,6.685,0.442455270809001,0.195766666666667,23.43490672,7.13886664825839,50.9634170216159
5,3,8.37666666666667,0.673226064062685,0.453233333333334,2.88666666666667,0.0665832811847939,0.00443333333333333,5.61666666666667,1.09051975375659,1.18923333333333,18.32394327,2.25916333990512,5.10381899637124
5,4,6.86,NA,NA,2.39,NA,NA,5.34,NA,NA,10.25860192,NA,NA
