banner.arg,banner.vd,value,se,x,z_LDH
0.777777777777778,7,-1.21911164258697,0.685556483388698,5.44444444444444,-1.77828037824237
0.888888888888889,7,-1.57869724046427,0.99286167552918,6.22222222222222,-1.59004751555431
1,7,-1.91159241630007,1.29811737662069,7,-1.47258826569012
0,8,0.0744290270304354,0.064557823435352,0,1.15290483894595
0.111111111111111,8,-0.132514510405033,0.11495462294065,0.888888888888889,-1.15275494812809
0.222222222222222,8,-0.211146839913808,0.168217631727051,1.77777777777778,-1.25520040762679
0.333333333333333,8,-0.263948783825906,0.183617675494143,2.66666666666667,-1.43749115174005
0.444444444444444,8,-0.362049636307172,0.194234851522085,3.55555555555556,-1.86397875288619
0.555555555555556,8,-0.555028253823173,0.229340428244732,4.44444444444444,-2.42010646823636
0.666666666666667,8,-0.875597165776355,0.411711061573068,5.33333333333333,-2.12672732773044
