FD.arg,FD.vd,value,se,x,z_LDH
0.777777777777778,7,-1.56220178680243,0.608276346220877,5.44444444444444,-2.56824352370126
0.888888888888889,7,-2.0734937180938,0.959876853600101,6.22222222222222,-2.16016639042496
1,7,-2.63936343411608,1.41307603460513,7,-1.86781416532454
0,8,0.0336339780763873,0.168653106618402,0,0.199426970251359
0.111111111111111,8,-0.145209720561866,0.179791605206419,0.888888888888889,-0.807655732286001
0.222222222222222,8,-0.289367664171515,0.226286520755732,1.77777777777778,-1.27876668572706
0.333333333333333,8,-0.414573949848515,0.241305299498605,2.66666666666667,-1.71804743082699
0.444444444444444,8,-0.55951648948651,0.28696281417696,3.55555555555556,-1.94978743532072
0.555555555555556,8,-0.78237224870933,0.323066821011278,4.44444444444444,-2.42170411142907
0.666666666666667,8,-1.11452378920665,0.363944692008621,5.33333333333333,-3.06234384970848
