FL.arg,FL.vd,value,se,x,z_LDH
0.666666666666667,7,-0.393927700810186,0.160595456386023,4.66666666666667,-2.45291933953165
0.777777777777778,7,-0.578972375576023,0.270600400733894,5.44444444444444,-2.13958432436092
0.888888888888889,7,-0.759515031934864,0.418828242188414,6.22222222222222,-1.81342840675292
1,7,-0.926449552304855,0.581584859231994,7,-1.59297398754202
0,8,-0.0218149028137998,0.0561806818049562,0,-0.388299004443113
0.111111111111111,8,-0.158787597883579,0.0777826313277864,0.888888888888889,-2.04142743917247
0.222222222222222,8,-0.206818223664976,0.126052682457256,1.77777777777778,-1.64072846077756
0.333333333333333,8,-0.207645379403475,0.12532949614264,2.66666666666667,-1.65679577269783
0.444444444444444,8,-0.208923577065933,0.110819603707096,3.55555555555556,-1.88525829435497
0.555555555555556,8,-0.262044442336564,0.112058641972024,4.44444444444444,-2.33845812982443
