PlantID,Branch,PosSeq,Pos,FL,FD,B,Date,FlwFate,seeds,aborted,unfert,Notes
32,6,30,4,8.39,2.23,3.69,24-Jun,0,0,,,
32,6,31,5,8.01,2.41,3.54,24-Jun,0,0,,,
12,1,1,1,10.66,4,6.13,12-Jun,0,0,,,
12,1,2,2,11.72,4.05,7.25,12-Jun,0,0,,,
12,1,3,3,10.36,3.51,7.41,12-Jun,0,0,,,
12,1,4,4,10.44,3.42,7.85,12-Jun,0,0,,,
12,1,5,5,9.62,3.2,7.99,12-Jun,0,0,,,
12,1,6,6,8.99,3.29,8.2,12-Jun,0,0,,,
12,2,7,1,10.37,3.8,8.4,12-Jun,0,0,,,
12,2,8,2,11.49,3.21,8.03,12-Jun,0,0,,,
12,2,9,3,9.94,3.42,6.1,13-Jun,0,0,,,
12,2,10,4,9.97,3.14,6.97,13-Jun,0,0,,,
12,2,11,5,9.79,3.41,6.25,13-Jun,0,0,,,
12,2,12,6,9.4,3.23,6.98,13-Jun,0,0,,,
12,3,13,1,11.44,2.93,8.73,13-Jun,0,0,,,
12,3,14,2,,,,14-Jun,0,0,,,aborted
12,3,15,3,,,,14-Jun,0,0,,,aborted
12,3,16,4,10.41,3.29,5.86,15-Jun,0,0,,,
12,3,17,5,,,,14-Jun,0,0,,,aborted
12,3,18,6,9.2,2.94,5.95,15-Jun,0,0,,,
13,1,1,1,11.43,4.06,8.36,12-Jun,1,0,,,
13,1,2,2,8.58,3.39,9.39,12-Jun,0,0,,,
13,1,3,3,9.53,3.14,6.21,12-Jun,0,0,,,
13,2,4,1,10,3.29,8.22,12-Jun,1,0,,,
13,2,5,2,9.75,3.51,9.14,12-Jun,0,0,,,
13,2,6,3,10.86,2.94,6.49,13-Jun,1,0,,,
13,2,7,4,10.34,3.17,7.11,13-Jun,0,0,,,
13,2,8,5,8.86,3.29,6.24,13-Jun,0,0,,,
13,2,9,6,8.68,3.24,6.18,13-Jun,0,0,,,
13,2,10,7,8.61,3.04,6.49,13-Jun,0,0,,,
13,3,11,1,8.24,3.01,6.51,13-Jun,0,0,,,
13,3,12,2,8.05,3.24,6.53,13-Jun,1,0,,,
13,3,13,3,8.97,3.54,5.27,14-Jun,0,0,,,
13,3,14,4,9.02,3.29,5.75,14-Jun,0,0,,,
13,3,15,5,9.13,3.03,6.06,15-Jun,0,0,,,
13,3,16,6,8.4,3.05,4.8,15-Jun,0,0,,,
13,4,17,1,7.99,2.65,3.53,15-Jun,0,0,,,
15,1,1,1,10.25,3.64,8.27,12-Jun,0,8,0,1,
15,1,2,2,12.08,4.29,8.64,12-Jun,1,0,,,
15,1,3,3,9.69,3.2,6.24,13-Jun,0,0,,,
15,1,4,4,9.19,3.3,6.56,13-Jun,1,0,,,
15,1,5,5,6.5,3.57,5.65,14-Jun,0,0,,,
15,2,6,1,10.82,3.4,7.81,13-Jun,0,0,,,
15,2,7,2,9.83,3.07,7.53,13-Jun,0,0,,,
15,2,8,3,9.7,3.13,8.14,13-Jun,0,0,,,
15,2,9,4,10.59,3.19,6.72,13-Jun,1,0,,,
15,2,10,5,9.56,3.39,5,14-Jun,0,0,,,
15,2,11,6,7.27,3.18,4.83,14-Jun,0,0,,,
15,2,12,7,7.13,2.65,5.02,15-Jun,0,0,,,
15,3,13,1,9.48,3.11,5.36,14-Jun,1,0,,,
15,3,14,2,9,3.14,5.97,14-Jun,0,0,,,
15,3,15,3,7.16,3.67,5.49,14-Jun,1,0,,,
15,3,16,4,8.12,2.98,4.23,15-Jun,1,5,1,0,
15,3,17,5,8.04,2.96,5.15,15-Jun,1,8,0,0,
15,3,18,6,7.95,2.9,4.89,15-Jun,0,9,1,0,
15,4,19,1,8.47,2.89,4.83,15-Jun,0,0,,,
15,4,20,2,8.89,2.72,4.54,16-Jun,0,0,,,
15,4,21,3,8.16,2.83,4.58,16-Jun,0,0,,,
15,4,22,4,8.21,2.61,4.01,16-Jun,0,0,,,
15,4,23,5,8.14,2.83,4.17,17-Jun,0,0,,,
15,4,24,6,7.87,2.85,3.77,17-Jun,0,0,,,
15,5,25,1,9.47,2.84,4.52,17-Jun,0,7,0,0,
15,5,26,2,8.54,2.74,4.01,17-Jun,0,0,,,
15,5,27,3,8.26,2.61,4.29,17-Jun,0,0,,,
15,5,28,4,8.6,2.46,4.32,17-Jun,0,0,,,
15,5,29,5,8.49,2.31,3.02,18-Jun,0,0,,,
15,5,30,6,8.71,2.69,4.42,18-Jun,0,0,0,0,
15,5,31,7,7.34,2.82,4.22,18-Jun,0,0,,,
15,6,32,1,8.81,2.6,4.49,17-Jun,0,0,,,
15,6,33,2,8.32,2.39,4.09,18-Jun,0,0,,,
15,6,34,3,8.46,2.47,3.61,19-Jun,0,0,,,
15,6,35,4,8.07,2.39,3.56,19-Jun,0,0,,,
15,7,36,1,8.9,2.22,4.29,19-Jun,0,0,,,
15,7,37,2,8.61,2.87,4.48,20-Jun,0,4,1,1,
15,7,38,3,8.5,2.61,5.02,21-Jun,0,0,,,
15,7,39,4,6.78,2.85,4.03,22-Jun,0,4,0,4,
15,7,40,5,7.03,3.18,4.58,23-Jun,0,0,,,
17,1,1,1,11.92,3.7,9.99,12-Jun,0,0,,,
17,2,2,2,11.99,4.29,8.25,12-Jun,0,0,,,
17,1,3,3,10.8,3.57,9.42,12-Jun,0,0,,,
17,1,4,4,10.27,2.99,8.49,12-Jun,0,0,,,
17,1,5,5,9.54,2.74,6.5,13-Jun,0,0,,,
17,1,6,1,8.92,3.13,7.39,12-Jun,0,0,,,
17,1,7,2,9.34,3.47,5.13,13-Jun,0,0,,,
17,2,8,3,9.51,3.06,5.92,13-Jun,0,0,,,
17,2,9,4,8.2,3.05,5.49,14-Jun,0,0,,,
17,2,10,5,7.84,3.44,4.27,14-Jun,1,0,,,
17,3,11,1,9.8,2.28,4.01,19-Jun,0,0,,,
17,3,12,2,8.41,2.29,4.02,21-Jun,0,0,,,
17,3,13,3,7.34,2.16,3.65,22-Jun,0,0,,,
17,3,14,4,7.13,2.24,3.29,23-Jun,0,0,,,
17,4,15,1,9.14,2.41,3.55,22-Jun,0,0,,,
17,4,16,2,8.71,2.59,4.13,23-Jun,0,0,,,
17,4,17,3,8.81,2.52,4.47,23-Jun,0,0,,,
17,4,18,4,7.8,2.85,3.67,23-Jun,0,0,,,
17,4,19,5,8.19,2.86,3.91,24-Jun,0,0,,,
17,4,20,6,8.41,2.61,3.42,24-Jun,0,0,,,
17,4,21,7,8.23,2.78,4.19,24-Jun,0,0,,,
18,1,1,1,13.27,3.35,9.22,12-Jun,1,0,,,
18,1,2,2,12.73,2.94,8.83,12-Jun,0,0,,,
18,1,3,3,8.66,2.92,5.69,13-Jun,0,0,,,
18,1,4,4,9.77,3.12,6.07,13-Jun,0,0,,,
18,1,5,5,9.66,2.99,8.86,13-Jun,1,4,0,1,
18,1,6,6,8.07,3.08,8.83,13-Jun,0,2,0,1,
18,1,7,7,9.52,2.92,5.13,14-Jun,0,0,,,
18,1,8,8,8.12,2.77,6.4,14-Jun,0,0,,,
18,2,9,1,10.6,2.64,6.45,13-Jun,0,0,,,
18,2,10,2,8.72,3.17,4.67,14-Jun,0,0,,,
18,2,11,3,7.99,2.87,5.16,15-Jun,0,4,1,3,
18,2,12,4,8.02,2.91,4.71,15-Jun,0,0,,,
18,2,13,5,7.72,2.07,4.01,15-Jun,0,0,,,
18,2,14,6,7.33,2.16,3.82,15-Jun,0,0,,,
18,3,15,1,8.39,2.85,4.57,15-Jun,0,0,,,
18,3,16,2,7.94,2.3,4.41,15-Jun,0,0,,,
18,3,17,3,7.95,2.48,4.24,16-Jun,0,0,,,
18,3,18,4,7.76,2.43,4.73,16-Jun,1,4,0,3,
18,3,19,5,7.77,2.62,4.46,16-Jun,1,0,,,
18,3,20,6,7.42,2.77,4.35,16-Jun,1,0,,,
18,3,21,7,7.41,2.22,4.07,17-Jun,0,0,,,
18,4,22,1,8.47,2.6,3.04,16-Jun,0,0,,,
18,4,23,2,9.56,2.78,4.67,17-Jun,0,0,,,
18,4,24,3,8.46,2.76,3.59,17-Jun,0,0,,,
18,4,25,4,8.5,2.53,3.14,17-Jun,0,0,,,
18,4,26,5,8.36,2.41,3.42,17-Jun,0,0,,,
18,4,27,6,6.93,2.56,3.42,17-Jun,0,0,,,
18,4,28,7,6.91,2.37,3.81,18-Jun,0,0,,,tube pierced
18,5,29,1,8.22,2.44,3.21,17-Jun,0,0,,,
18,5,30,2,8.14,2.41,3.01,17-Jun,0,0,,,
18,5,31,3,8.03,2.27,2.98,18-Jun,0,0,,,
18,5,32,4,7.62,2.18,2.97,19-Jun,0,0,,,
18,5,33,5,7.74,2.23,2.99,19-Jun,1,0,,,
18,6,34,1,8.21,2.33,3.11,19-Jun,0,0,,,
18,6,35,2,8.22,2.45,3.65,20-Jun,0,0,,,
18,6,36,3,8.05,2.16,3.07,20-Jun,0,0,,,
18,7,37,1,8.09,2.25,2.97,20-Jun,0,0,,,
18,7,38,2,7.67,2.21,2.29,21-Jun,1,0,,,
18,7,39,3,7.55,2.24,2.04,21-Jun,0,0,,,
