PlantID,Branch,PosSeq,Pos,FL,FD,B,Date,FlwFate,seeds,aborted,unfert,Notes,flw_vol
32,5,26,5,8.31,2.5,3.12,20-Jun,0,0,,,,13.59719422
32,6,27,1,8.91,2.35,4.11,23-Jun,0,0,,,,12.88195235
32,6,28,2,9.17,2.51,3.78,23-Jun,0,0,,,,15.12463973
32,6,29,3,8.81,2.35,4.05,23-Jun,0,0,,,,12.73737376
32,6,30,4,8.39,2.23,3.69,24-Jun,0,0,,,,10.92295003
32,6,31,5,8.01,2.41,3.54,24-Jun,0,0,,,,12.17965148
9,1,1,1,9.64,3.98,8.75,12-Jun,1,4,0,0,,39.97711393
9,1,2,2,9.58,3.59,8.51,12-Jun,0,0,,,,32.32381899
9,1,3,3,10.21,4.47,8.25,12-Jun,0,0,,,,53.40833612
9,1,4,4,9.92,3.4,7.78,12-Jun,0,0,,,,30.0218718
9,1,5,5,8.94,4.05,8.02,12-Jun,0,0,,,,38.38979783
9,2,6,1,9.65,3.22,8.22,12-Jun,0,0,,,,26.19433133
9,2,7,2,9.53,2.82,7.52,13-Jun,0,0,,,,19.84080903
9,2,8,3,8.81,2.89,6.18,14-Jun,0,0,,,,19.26370654
9,2,9,4,8.65,3.01,4.75,14-Jun,0,0,,,,20.51716535
10,1,1,1,,,,12-Jun,0,0,,,aborted,0
10,1,2,2,10.14,3.23,7.77,12-Jun,1,5,0,0,,27.69563069
10,1,3,3,7.88,3.46,6.16,12-Jun,0,0,,,,24.69714064
10,1,4,4,9.96,3.2,8.6,12-Jun,0,0,,,,26.70100173
10,1,5,5,9.03,2.94,7.12,12-Jun,0,0,,,,20.43387211
10,2,6,1,9.88,3.83,5.75,13-Jun,0,0,,,,37.94222126
10,2,7,2,9.68,3.38,8.59,13-Jun,0,0,,,,28.95189651
10,2,8,3,7.18,3.41,5.09,14-Jun,0,0,,,,21.85754907
10,2,9,4,7.55,3.06,5.22,14-Jun,0,0,,,,18.50793921
10,2,10,5,8.57,3.52,5.26,14-Jun,0,0,,,,27.7993351
11,1,1,1,9.74,3.81,7.71,12-Jun,0,0,,,,37.01495008
11,1,2,2,9.81,3.55,8.86,12-Jun,0,0,,,,32.36636842
11,1,3,3,9.1,3.29,6.94,12-Jun,0,0,,,,25.78703728
11,1,4,4,10.09,2.72,5.64,13-Jun,0,0,,,,19.54327009
11,1,5,5,6.66,2.62,5.82,13-Jun,0,0,,,,11.96864737
11,1,6,6,7.32,2.55,4.76,14-Jun,0,0,,,,12.46119527
12,1,1,1,10.66,4,6.13,12-Jun,0,0,,,,44.65246587
12,1,2,2,11.72,4.05,7.25,12-Jun,0,0,,,,50.32756494
12,1,3,3,10.36,3.51,7.41,12-Jun,0,0,,,,33.41506022
12,1,4,4,10.44,3.42,7.85,12-Jun,0,0,,,,31.96840515
12,1,5,5,9.62,3.2,7.99,12-Jun,0,0,,,,25.78952175
12,1,6,6,8.99,3.29,8.2,12-Jun,0,0,,,,25.47532584
12,2,7,1,10.37,3.8,8.4,12-Jun,0,0,,,,39.20254025
12,2,8,2,11.49,3.21,8.03,12-Jun,0,0,,,,30.99547907
12,2,9,3,9.94,3.42,6.1,13-Jun,0,0,,,,30.43735126
12,2,10,4,9.97,3.14,6.97,13-Jun,0,0,,,,25.73491358
12,2,11,5,9.79,3.41,6.25,13-Jun,0,0,,,,29.80298125
12,2,12,6,9.4,3.23,6.98,13-Jun,0,0,,,,25.67445054
12,3,13,1,11.44,2.93,8.73,13-Jun,0,0,,,,25.71162498
12,3,14,2,,,,14-Jun,0,0,,,aborted,0
12,3,15,3,,,,14-Jun,0,0,,,aborted,0
12,3,16,4,10.41,3.29,5.86,15-Jun,0,0,,,,29.49923715
12,3,17,5,,,,14-Jun,0,0,,,aborted,0
12,3,18,6,9.2,2.94,5.95,15-Jun,0,0,,,,20.81856295
13,1,1,1,11.43,4.06,8.36,12-Jun,1,0,,,,49.32493906
13,1,2,2,8.58,3.39,9.39,12-Jun,0,0,,,,25.8139785
13,1,3,3,9.53,3.14,6.21,12-Jun,0,0,,,,24.59917016
13,2,4,1,10,3.29,8.22,12-Jun,1,0,,,,28.3374036
13,2,5,2,9.75,3.51,9.14,12-Jun,0,0,,,,31.44757115
13,2,6,3,10.86,2.94,6.49,13-Jun,1,0,,,,24.57495583
