PlantID,Branch,PosSeq,Bpos,Pos,FL,FD,B,Date,flw_date,FlwFate,seeds,aborted,unfert,Notes,flw_vol
18,3,16,2-Mar,2,7.94,2.3,4.41,15-Jun,4,0,0,,,,10.99624568
18,3,17,3-Mar,3,7.95,2.48,4.24,16-Jun,5,0,0,,,,12.80084828
18,3,18,4-Mar,4,7.76,2.43,4.73,16-Jun,5,1,4,0,3,,11.9961677
18,3,19,5-Mar,5,7.77,2.62,4.46,16-Jun,5,1,0,,,,13.96342193
18,3,20,6-Mar,6,7.42,2.77,4.35,16-Jun,5,1,0,,,,14.90499049
18,3,21,7-Mar,7,7.41,2.22,4.07,17-Jun,6,0,0,,,,9.560760006
19,3,12,1-Mar,1,9.48,3.19,5.82,14-Jun,3,0,0,,,,25.25561586
19,3,13,2-Mar,2,8.88,2.91,5.44,15-Jun,4,0,0,,,,19.68644073
25,3,11,1-Mar,1,8.75,2.63,5.21,14-Jun,3,0,0,,,,15.84483824
25,3,12,2-Mar,2,7.81,2.49,4.74,15-Jun,4,0,0,,,,12.67704371
25,3,13,3-Mar,3,7.53,2.39,4.33,16-Jun,5,0,0,,,tube pierced,11.26053534
26,3,16,2-Mar,2,9.38,2.84,6.63,16-Jun,5,0,0,,,,19.80650182
26,3,18,4-Mar,4,9.32,2.91,5.86,16-Jun,5,0,0,,,,20.661895
26,3,19,5-Mar,5,9.21,2.96,5.23,16-Jun,5,0,0,,,,21.12570992
26,3,20,6-Mar,6,9.06,2.69,5.58,16-Jun,5,0,0,,,,17.16330885
26,3,21,7-Mar,7,8.41,2.82,5.87,17-Jun,6,0,0,,,,17.50904554
33,3,15,1-Mar,1,9.61,2.96,4.78,16-Jun,5,0,0,,,,22.04322175
33,3,16,2-Mar,2,9.05,2.8,5.07,17-Jun,6,0,0,,,,18.57517447
33,3,17,3-Mar,3,8.04,2.61,3.86,17-Jun,6,0,0,,,,14.33855291
33,3,18,4-Mar,4,8.08,2.53,4.87,17-Jun,6,0,0,,,,13.54006231
33,3,19,5-Mar,5,7.63,2.17,4.48,17-Jun,6,0,0,,,,9.406157912
33,3,20,6-Mar,6,7.17,2.15,4.11,18-Jun,7,0,0,,,,8.676894866
34,3,16,1-Mar,1,9.35,2.83,4.32,16-Jun,5,0,0,,,,19.60436328
34,3,17,2-Mar,2,8.79,2.45,4.51,17-Jun,6,0,0,,,,13.81304109
35,3,13,1-Mar,1,8.48,2.73,4.13,17-Jun,6,0,0,,,,16.54586232
35,3,14,2-Mar,2,8.1,2.5,3.97,18-Jun,7,0,0,,,,13.25358281
35,3,15,3-Mar,3,7.88,2.37,3.57,18-Jun,7,1,8,1,1,,11.58753795
35,3,16,4-Mar,4,7.19,2.14,3.42,18-Jun,7,1,2,0,0,,8.620345984
35,3,17,5-Mar,5,7.3,2.01,3.29,19-Jun,8,0,0,,,,7.721172137
36,3,13,1-Mar,1,8.24,2.85,4.84,17-Jun,6,0,0,,,,17.52206115
36,3,14,2-Mar,2,7.85,2.57,4.14,17-Jun,6,0,0,,,,13.57388493
36,3,15,3-Mar,3,7.59,2.5,4.01,18-Jun,7,0,0,,,,12.41909797
36,3,16,4-Mar,4,7.3,2.52,3.8,18-Jun,7,0,0,,,,12.13646482
36,3,17,5-Mar,5,6.46,2.14,3.67,19-Jun,8,0,0,,,,7.745123095
37,3,13,1-Mar,1,9.61,2.88,3.73,18-Jun,7,0,0,,,,20.86779795
37,3,14,2-Mar,2,9.31,2.74,3.43,19-Jun,8,0,0,,,,18.29865067
37,3,15,3-Mar,3,9.66,2.67,3.57,19-Jun,8,1,2,0,6,,18.02884517
37,3,16,4-Mar,4,8.5,2.66,3.71,19-Jun,8,1,4,1,3,,15.74528256
37,3,17,5-Mar,5,8.21,2.55,3.44,20-Jun,9,0,0,,,,13.97628596
37,3,18,6-Mar,6,8.55,2.53,3.62,20-Jun,9,0,0,,,,14.32766494
38,3,14,2-Mar,2,8.58,2.18,4.79,20-Jun,9,1,4,1,2,,10.67501601
38,3,15,3-Mar,3,8.43,2.61,4.04,20-Jun,9,1,2,0,0,,15.03407973
38,3,16,4-Mar,4,8.49,2.5,3.32,20-Jun,9,0,0,,,,13.89171828
38,3,17,5-Mar,5,8.19,2.48,3.1,20-Jun,9,0,0,,,,13.18728898
39,3,16,1-Mar,1,9.1,2.73,4.12,20-Jun,9,0,0,,,,17.75558338
39,3,17,2-Mar,2,8.24,2.55,3.05,20-Jun,9,0,0,,,,14.02735643
39,3,18,3-Mar,3,8.45,2.65,3.5,21-Jun,10,0,0,,,,15.53519527
39,3,19,4-Mar,4,8.28,2.24,3.38,21-Jun,10,1,6,0,3,,10.87663697
39,3,20,5-Mar,5,7.59,2.38,3.46,22-Jun,10,0,0,,,,11.25547817
39,3,21,6-Mar,6,6.35,3.09,3.26,22-Jun,10,0,0,,,,15.87299736
39,3,22,7-Mar,7,6.39,2.19,3.78,23-Jun,11,0,0,,,,8.023379743
39,3,23,8-Mar,8,6.03,2.35,4.03,23-Jun,11,0,0,,,,8.718088964
