FD.arg,FD.vd,value,se,x,z,,
0.4375,5,-1.160082804,0.990194429,2.1875,-0.79871205,,
0.458333333,5,-1.168741938,1.002589345,2.291666667,-0.807371183,,
0.479166667,5,-1.173983074,1.016480248,2.395833333,-0.812612319,,
0.5,5,-1.175227493,1.031019268,2.5,-0.813856738,,
0.520833333,5,-1.171976471,1.045705901,2.604166667,-0.810605716,,
0.541666667,5,-1.164006489,1.061076895,2.708333333,-0.802635734,,
0.5625,5,-1.151164548,1.077990213,2.8125,-0.789793793,,
0.583333333,5,-1.13330109,1.097263313,2.916666667,-0.771930335,,
0.604166667,5,-1.110269998,1.119556614,3.020833333,-0.748899243,,
0.625,5,-1.081928593,1.14530657,3.125,-0.720557838,,
0.645833333,5,-1.048137636,1.174706445,3.229166667,-0.686766881,,
0.666666667,5,-1.008761325,1.207730225,3.333333333,-0.647390571,,
0.6875,5,-0.963667299,1.244191477,3.4375,-0.602296544,,
0.708333333,5,-0.912726631,1.283826727,3.541666667,-0.551355876,,
0.729166667,5,-0.855813833,1.326392948,3.645833333,-0.494443078,,
0.75,5,-0.792806853,1.371770664,3.75,-0.431436098,,
0.770833333,5,-0.723606209,1.420160658,3.854166667,-0.362235454,,
0.791666667,5,-0.648190884,1.472369067,3.958333333,-0.28682013,,
0.8125,5,-0.5665583,1.529346759,4.0625,-0.205187545,,
0.833333333,5,-0.478704799,1.591960236,4.166666667,-0.117334044,,
0.854166667,5,-0.384625653,1.660902514,4.270833333,-0.023254899,,
0.875,5,-0.284315058,1.736637713,4.375,0.077055697,,
0.895833333,5,-0.177766135,1.819376689,4.479166667,0.18360462,,
0.916666667,5,-0.064970932,1.909078858,4.583333333,0.296399822,,
0.9375,5,0.054079577,2.005473543,4.6875,0.415450332,,
0.958333333,5,0.179395492,2.108093475,4.791666667,0.540766247,,
0.979166667,5,0.310987987,2.216313687,4.895833333,0.672358742,,
1,5,0.44886931,2.329390563,5,0.810240065,,
0,6,-0.957550046,0.662046422,0,-0.596179291,,
0.020833333,6,-0.961606729,0.644187395,0.125,-0.600235974,,
0.041666667,6,-0.962227568,0.643410222,0.25,-0.600856814,,
0.0625,6,-0.960170295,0.65848515,0.375,-0.59879954,,
0.083333333,6,-0.956179191,0.686416258,0.5,-0.594808437,,
0.104166667,6,-0.950985091,0.723284241,0.625,-0.589614336,,
0.125,6,-0.945305379,0.765071636,0.75,-0.583934624,,
0.145833333,6,-0.939843989,0.808166138,0.875,-0.578473235,,
0.166666667,6,-0.935291408,0.849554848,1,-0.573920653,,
0.1875,6,-0.932324671,0.886846975,1.125,-0.570953916,,
0.208333333,6,-0.931607365,0.918242041,1.25,-0.57023661,,
0.229166667,6,-0.933789624,0.942509542,1.375,-0.57241887,,
0.25,6,-0.939508136,0.959012441,1.5,-0.578137382,,
0.270833333,6,-0.949166751,0.968019548,1.625,-0.587795996,,
0.291666667,6,-0.962286637,0.971299077,1.75,-0.600915883,,
0.3125,6,-0.97817898,0.971023415,1.875,-0.616808225,,
0.333333333,6,-0.99616644,0.969305811,2,-0.634795685,,
0.354166667,6,-1.015583155,0.968028634,2.125,-0.6542124,,
0.375,6,-1.035774741,0.968695188,2.25,-0.674403986,,
0.395833333,6,-1.056098291,0.972318222,2.375,-0.694727536,,
0.416666667,6,-1.075922378,0.97936559,2.5,-0.714551623,,
0.4375,6,-1.094627051,0.989778872,2.625,-0.733256297,,
0.458333333,6,-1.111603842,1.003067046,2.75,-0.750233088,,
0.479166667,6,-1.126255761,1.018462265,2.875,-0.764885006,,
0.5,6,-1.137997298,1.03511669,3,-0.776626543,,
0.520833333,6,-1.14632244,1.052519937,3.125,-0.784951685,,
0.541666667,6,-1.151005832,1.071220629,3.25,-0.789635077,,
0.5625,6,-1.151893719,1.092082929,3.375,-0.790522964,,
0.583333333,6,-1.148835212,1.11590722,3.5,-0.787464457,,
0.604166667,6,-1.141682292,1.143308565,3.625,-0.780311537,,
0.625,6,-1.130289803,1.174650572,3.75,-0.768919049,,
0.645833333,6,-1.114515461,1.210031778,3.875,-0.753144706,,
0.666666667,6,-1.094219842,1.249317738,4,-0.732849087,,
0.6875,6,-1.069266393,1.292208072,4.125,-0.707895638,,
0.708333333,6,-1.039521424,1.33832602,4.25,-0.678150669,,
0.729166667,6,-1.00485411,1.387319064,4.375,-0.643483355,,
0.75,6,-0.965136491,1.438962169,4.5,-0.603765736,,
0.770833333,6,-0.920263764,1.493355007,4.625,-0.55889301,,
0.791666667,6,-0.870213909,1.551211421,4.75,-0.508843154,,
0.8125,6,-0.814984614,1.613390401,4.875,-0.453613859,,
0.833333333,6,-0.754572673,1.680669312,5,-0.393201918,,
0.854166667,6,-0.688973983,1.753660522,5.125,-0.327603228,,
0.875,6,-0.618183546,1.832760455,5.25,-0.256812791,,
0.895833333,6,-0.54219547,1.918127346,5.375,-0.180824715,,
0.916666667,6,-0.461002966,2.009682675,5.5,-0.099632211,,
0.9375,6,-0.374598351,2.107130104,5.625,-0.013227596,,
0.958333333,6,-0.282973046,2.209985455,5.75,0.078397709,,
0.979166667,6,-0.186117578,2.317611873,5.875,0.175253177,,
1,6,-0.084021578,2.429255621,6,0.277349177,,
0,7,-0.957550046,0.662046422,0,-0.596179291,,
0.020833333,7,-0.952738755,0.643943812,0.145833333,-0.591368,,
0.041666667,7,-0.945093584,0.643086749,0.291666667,-0.583722829,,
0.0625,7,-0.935375147,0.658323541,0.4375,-0.574004392,,
0.083333333,7,-0.924332528,0.68666639,0.583333333,-0.562961773,,
0.104166667,7,-0.912703287,0.724149241,0.729166667,-0.551332532,,
0.125,7,-0.901213452,0.76668149,0.875,-0.539842697,,
0.145833333,7,-0.890577526,0.810572553,1.020833333,-0.529206772,,
0.166666667,7,-0.881498483,0.852735524,1.166666667,-0.520127729,,
0.1875,7,-0.874667769,0.890711955,1.3125,-0.513297014,,
0.208333333,7,-0.8707653,0.922639568,1.458333333,-0.509394545,,
0.229166667,7,-0.870459466,0.947231589,1.604166667,-0.509088712,,
0.25,7,-0.874407128,0.963801484,1.75,-0.513036373,,
0.270833333,7,-0.883032303,0.972589268,1.895833333,-0.521661548,,
0.291666667,7,-0.895869347,0.975391118,2.041666667,-0.534498592,,
0.3125,7,-0.91223936,0.974437932,2.1875,-0.550868606,,
0.333333333,7,-0.93147328,0.971922862,2.333333333,-0.570102525,,
0.354166667,7,-0.952911879,0.969827113,2.479166667,-0.591541125,,
0.375,7,-0.975905771,0.96976498,2.625,-0.614535017,,
0.395833333,7,-0.999815406,0.972861645,2.770833333,-0.638444651,,
0.416666667,7,-1.024011072,0.979686392,2.916666667,-0.662640317,,
0.4375,7,-1.047872896,0.990260593,3.0625,-0.686502141,,
0.458333333,7,-1.070790843,1.004145723,3.208333333,-0.709420088,,
0.479166667,7,-1.09216472,1.020599589,3.354166667,-0.730793965,,
0.5,7,-1.111404171,1.038778493,3.5,-0.750033417,,
0.520833333,7,-1.127997977,1.058168359,3.645833333,-0.766627222,,
0.541666667,7,-1.141719472,1.079331292,3.791666667,-0.780348717,,
0.5625,7,-1.152414361,1.103141728,3.9375,-0.791043606,,
0.583333333,7,-1.159930806,1.130394054,4.083333333,-0.798560051,,
0.604166667,7,-1.164119428,1.161677576,4.229166667,-0.802748674,,
0.625,7,-1.164833305,1.197311241,4.375,-0.803462551,,
0.645833333,7,-1.161927974,1.237334314,4.520833333,-0.800557219,,
0.666666667,7,-1.155261426,1.281544486,4.666666667,-0.793890671,,
0.6875,7,-1.144694112,1.329570761,4.8125,-0.783323357,,
0.708333333,7,-1.130088938,1.380967272,4.958333333,-0.768718183,,
0.729166667,7,-1.111311268,1.435316004,5.104166667,-0.749940514,,
0.75,7,-1.088228921,1.492330036,5.25,-0.726858166,,
0.770833333,7,-1.060733292,1.552051262,5.395833333,-0.699362538,,
0.791666667,7,-1.028801642,1.615143167,5.541666667,-0.667430887,,
0.8125,7,-0.992431852,1.68241424,5.6875,-0.631061097,,
0.833333333,7,-0.951621036,1.754591471,5.833333333,-0.590250281,,
0.854166667,7,-0.90636554,1.832240153,5.979166667,-0.544994785,,
0.875,7,-0.856660942,1.915715627,6.125,-0.495290187,,
0.895833333,7,-0.802502054,2.0051426,6.270833333,-0.441131299,,
0.916666667,7,-0.743882918,2.100416807,6.416666667,-0.382512163,,
0.9375,7,-0.680796811,2.201223015,6.5625,-0.319426056,,
0.958333333,7,-0.61323624,2.307063316,6.708333333,-0.251865485,,
0.979166667,7,-0.541192947,2.417290357,6.854166667,-0.179822192,,
1,7,-0.464657906,2.531141316,7,-0.103287151,,
0,8,-0.957550046,0.662046422,0,-0.596179291,,
0.020833333,8,-0.946087774,0.643780707,0.166666667,-0.584717019,,
0.041666667,8,-0.932243096,0.642916062,0.333333333,-0.570872341,,
0.0625,8,-0.916778785,0.658346966,0.5,-0.55540803,,
0.083333333,8,-0.900447531,0.687078807,0.666666667,-0.539076776,,
0.104166667,8,-0.883991934,0.725100644,0.833333333,-0.522621179,,
0.125,8,-0.868144508,0.768261521,1,-0.506773753,,
0.145833333,8,-0.853627681,0.812810159,1.166666667,-0.492256926,,
0.166666667,8,-0.841153792,0.855604215,1.333333333,-0.479783037,,
0.1875,8,-0.831425096,0.894135427,1.5,-0.470054341,,
0.208333333,8,-0.825133757,0.926496222,1.666666667,-0.463763003,,
0.229166667,8,-0.822961855,0.95135838,1.833333333,-0.461591101,,
0.25,8,-0.825581381,0.967998449,2,-0.464210626,,
0.270833333,8,-0.833431478,0.97663427,2.166666667,-0.472060723,,
0.291666667,8,-0.846056392,0.979081635,2.333333333,-0.484685637,,
0.3125,8,-0.862784659,0.977614032,2.5,-0.501413904,,
0.333333333,8,-0.882953422,0.974483937,2.666666667,-0.521582668,,
0.354166667,8,-0.905908433,0.971747263,2.833333333,-0.544537679,,
0.375,8,-0.931004051,0.971103691,3,-0.569633296,,
0.395833333,8,-0.957603243,0.973766415,3.166666667,-0.596232488,,
0.416666667,8,-0.985077585,0.980385552,3.333333333,-0.62370683,,
0.4375,8,-1.012807261,0.991047334,3.5,-0.651436506,,
0.458333333,8,-1.040181064,1.005357025,3.666666667,-0.678810309,,
0.479166667,8,-1.066596396,1.022594978,3.833333333,-0.705225641,,
0.5,8,-1.091459269,1.041922758,4,-0.730088514,,
0.520833333,8,-1.114254558,1.062825139,4.166666667,-0.752883803,,
0.541666667,8,-1.134754619,1.085876653,4.333333333,-0.773383864,,
0.5625,8,-1.15280475,1.111962034,4.5,-0.791433995,,
0.583333333,8,-1.168252402,1.141873783,4.666666667,-0.806881647,,
0.604166667,8,-1.180947177,1.176184589,4.833333333,-0.819576422,,
0.625,8,-1.190740826,1.215182888,5,-0.829370071,,
0.645833333,8,-1.197487253,1.258866961,5.166666667,-0.836116498,,
0.666666667,8,-1.201042511,1.306987664,5.333333333,-0.839671756,,
0.6875,8,-1.201264803,1.359125712,5.5,-0.839894048,,
0.708333333,8,-1.198014482,1.414788635,5.666666667,-0.836643728,,
0.729166667,8,-1.191154053,1.473515024,5.833333333,-0.829783298,,
0.75,8,-1.180548167,1.534977783,6,-0.819177412,,
0.770833333,8,-1.166085369,1.599182385,6.166666667,-0.804714614,,
0.791666667,8,-1.147742379,1.666762389,6.333333333,-0.786371625,,
0.8125,8,-1.125517224,1.7384965,6.5,-0.764146469,,
0.833333333,8,-1.099407258,1.815081644,6.666666667,-0.738036503,,
0.854166667,8,-1.069409163,1.897054673,6.833333333,-0.708038408,,
0.875,8,-1.03551895,1.984745791,7,-0.674148195,,
0.895833333,8,-0.997731957,2.07825894,7.166666667,-0.636361202,,
0.916666667,8,-0.956042852,2.177473704,7.333333333,-0.594672097,,
0.9375,8,-0.91044563,2.282062832,7.5,-0.549074875,,
0.958333333,8,-0.860933614,2.391519581,7.666666667,-0.49956286,,
0.979166667,8,-0.807499458,2.505189781,7.833333333,-0.446128704,,
1,8,-0.750135142,2.622304702,8,-0.388764388,,
0,9,-0.957550046,0.662046422,0,-0.596179291,,
0.020833333,9,-0.940914789,0.643665459,0.1875,-0.579544034,,
0.041666667,9,-0.922248272,0.642825961,0.375,-0.560877517,,
0.0625,9,-0.902314949,0.658450891,0.5625,-0.540944194,,
0.083333333,9,-0.881870311,0.68753257,0.75,-0.520499556,,
0.104166667,9,-0.861660881,0.72601927,0.9375,-0.500290127,,
0.125,9,-0.842424218,0.769709888,1.125,-0.481053463,,
0.145833333,9,-0.824888912,0.814804852,1.3125,-0.463518158,,
0.166666667,9,-0.809774589,0.858118835,1.5,-0.448403835,,
0.1875,9,-0.797791908,0.897105465,1.6875,-0.436421153,,
0.208333333,9,-0.78964256,0.929822623,1.875,-0.428271805,,
0.229166667,9,-0.786019273,0.954910352,2.0625,-0.424648518,,
0.25,9,-0.787605805,0.971616658,2.25,-0.42623505,,
0.270833333,9,-0.794853065,0.980141832,2.4375,-0.43348231,,
0.291666667,9,-0.807312989,0.982316114,2.625,-0.445942235,,
0.3125,9,-0.824319899,0.980445321,2.8125,-0.462949144,,
0.333333333,9,-0.845215763,0.97682762,3,-0.483845008,,
