B.1.arg,B.1.vd,value,se,x
75,0.444444444444444,2.3641,-0.622701121040519,1.53427283949861,1.05071111111111
76,0.555555555555556,2.3641,-1.04546388893827,1.60780202101826,1.31338888888889
77,0.666666666666667,2.3641,-1.63452279349123,1.80597749252592,1.57606666666667
78,0.777777777777778,2.3641,-2.38988052712818,2.25870492970244,1.83874444444444
79,0.888888888888889,2.3641,-3.31153744406252,3.0130819991646,2.10142222222222
80,1,2.3641,-4.39949232137291,4.05221403297497,2.3641
81,0,2.4104,-0.594490961682086,0.668118177754111,0
82,0.111111111111111,2.4104,-0.372499560235627,0.959889309717367,0.267822222222222
83,0.222222222222222,2.4104,-0.313605778378704,1.21998426317472,0.535644444444444
84,0.333333333333333,2.4104,-0.417793609333624,1.36750864107142,0.803466666666667
85,0.444444444444444,2.4104,-0.685065977830023,1.42669672349759,1.07128888888889
