FD.arg,FD.vd,value,se,x
0.729166666666667,5.44,2.6529382861827,2.94136062354524,3.96666666666667
0.75,5.44,2.85361557440364,3.39661459046129,4.08
0.770833333333333,5.44,3.015523921449,3.91265663389243,4.19333333333333
0.791666666666667,5.44,3.13453724282251,4.48744860767829,4.30666666666667
0.8125,5.44,3.20730902566551,5.12367392498752,4.42
0.833333333333333,5.44,3.2312037483081,5.82637021092382,4.53333333333333
0.854166666666667,5.44,3.20429688026921,6.60175126600517,4.64666666666667
0.875,5.44,3.12537488225655,7.45621464749549,4.76
0.895833333333333,5.44,2.9939352061666,8.39554799187385,4.87333333333333
0.916666666666667,5.44,2.81018629508466,9.4243390548436,4.98666666666667
0.9375,5.44,2.5750475832848,10.5455801691726,5.1
0.958333333333333,5.44,2.29014949622992,11.7604426581928,5.21333333333333
