banner.arg,banner.vd,value,se,x
0.75,30,-0.055287868,0.697154244,22.56
0.770833333,30,0.047282407,0.734881316,23.18666667
0.791666667,30,0.146909958,0.779533811,23.81333333
0.8125,30,0.242636266,0.82850866,24.44
0.833333333,30,0.337772217,0.880590431,25.06666667
0.854166667,30,0.43658068,0.944042686,25.69333333
0.875,30,0.540426931,1.03031109,26.32
0.895833333,30,0.646496251,1.145751953,26.94666667
0.916666667,30,0.748784671,1.286021906,27.57333333
0.9375,30,0.840868004,1.444668054,28.2
0.958333333,30,0.919199152,1.62307228,28.82666667
0.979166667,30,0.985143261,1.822532214,29.45333333
1,30,1.044281007,2.030287355,30.08
0,40,0.246233662,0.385325916,0
0.020833333,40,0.10615628,0.213705448,0.8375
0.041666667,40,-0.084497272,0.147241679,1.675
0.0625,40,-0.215935742,0.211712496,2.5125
0.083333333,40,-0.272058912,0.234759476,3.35
0.104166667,40,-0.25959438,0.201877487,4.1875
0.125,40,-0.20368189,0.197363721,5.025
0.145833333,40,-0.161102552,0.208212633,5.8625
0.166666667,40,-0.127987608,0.216608801,6.7
0.1875,40,-0.07771868,0.242146869,7.5375
0.208333333,40,-0.00558391,0.265357501,8.375
0.229166667,40,0.082110282,0.279033507,9.2125
0.25,40,0.184016919,0.272654182,10.05
0.270833333,40,0.286814144,0.265849531,10.8875
0.291666667,40,0.346784486,0.292211079,11.725
0.3125,40,0.32113362,0.335233728,12.5625
0.333333333,40,0.207920107,0.361546813,13.4
0.354166667,40,0.040433634,0.368722022,14.2375
0.375,40,-0.147736533,0.373702296,15.075
0.395833333,40,-0.338026004,0.405389087,15.9125
0.416666667,40,-0.515773892,0.462130699,16.75
0.4375,40,-0.667293708,0.532567279,17.5875
0.458333333,40,-0.786483306,0.61012501,18.425
0.479166667,40,-0.872266474,0.681893403,19.2625
0.5,40,-0.927939093,0.744064515,20.1
0.520833333,40,-0.955344595,0.79138448,20.9375
0.541666667,40,-0.952776978,0.819520339,21.775
0.5625,40,-0.917536537,0.825872457,22.6125
0.583333333,40,-0.850291467,0.813797771,23.45
0.604166667,40,-0.758156605,0.79083016,24.2875
0.625,40,-0.653635375,0.763423091,25.125
0.645833333,40,-0.549402734,0.736144441,25.9625
0.666666667,40,-0.452344389,0.712964118,26.8
0.6875,40,-0.361228962,0.694599911,27.6375
0.708333333,40,-0.269698022,0.681922882,28.475
0.729166667,40,-0.172150391,0.681931297,29.3125
0.75,40,-0.068049909,0.699560268,30.15
0.770833333,40,0.038317554,0.730438883,30.9875
0.791666667,40,0.141943383,0.769585161,31.825
0.8125,40,0.241411684,0.814492087,32.6625
0.833333333,40,0.339770962,0.863248791,33.5
0.854166667,40,0.441381181,0.92252332,34.3375
0.875,40,0.547952107,1.00484765,35.175
0.895833333,40,0.656842329,1.118094722,36.0125
0.916666667,40,0.761916662,1.257657507,36.85
0.9375,40,0.856420697,1.415908418,37.6875
0.958333333,40,0.936513301,1.594282378,38.525
0.979166667,40,1.003552665,1.795068456,39.3625
1,40,1.063598706,2.004895281,40.2
0,50,0.246233662,0.385325916,0
0.020833333,50,0.107833262,0.21391765,1.020833333
0.041666667,50,-0.080760392,0.146867433,2.041666667
0.0625,50,-0.209900714,0.210919337,3.0625
