FL.arg,ab_flw,FL.vd,value,se,x
1,30,30,4.560447691,11.84442811,30.08
0,0,40,2.6583651,0.650308625,0
0.020833333,0.833333333,40,0.789006029,0.309596917,0.8375
0.041666667,1.666666667,40,-1.174065838,0.657364338,1.675
0.0625,2.5,40,-0.821219472,0.370305104,2.5125
0.083333333,3.333333333,40,-0.966529403,0.536298925,3.35
0.104166667,4.166666667,40,-0.264564334,0.266086404,4.1875
0.125,5,40,2.265504128,0.453977358,5.025
0.145833333,5.833333333,40,1.770010713,0.432608978,5.8625
0.166666667,6.666666667,40,-1.874587837,0.519938343,6.7
0.1875,7.5,40,-2.791154066,0.790205804,7.5375
0.208333333,8.333333333,40,-0.130721965,0.561821158,8.375
0.229166667,9.166666667,40,0.700136016,0.591199631,9.2125
0.25,10,40,-1.203682795,0.52868414,10.05
0.270833333,10.83333333,40,-1.062992157,0.723615729,10.8875
0.291666667,11.66666667,40,2.263099611,0.475569262,11.725
0.3125,12.5,40,3.965123543,0.857780204,12.5625
0.333333333,13.33333333,40,1.477905938,1.154494479,13.4
0.354166667,14.16666667,40,-1.77182262,0.786246872,14.2375
0.375,15,40,-2.294564184,0.464785151,15.075
0.395833333,15.83333333,40,-0.895710025,0.869571416,15.9125
0.416666667,16.66666667,40,0.164777614,0.984866317,16.75
0.4375,17.5,40,0.623622247,1.014158863,17.5875
0.458333333,18.33333333,40,1.635804802,0.991672336,18.425
0.479166667,19.16666667,40,3.006638421,1.037134107,19.2625
0.5,20,40,2.944298414,1.122756821,20.1
0.520833333,20.83333333,40,0.611257111,0.922081038,20.9375
0.541666667,21.66666667,40,-2.198570375,1.31693337,21.775
0.5625,22.5,40,-2.872918054,2.292459797,22.6125
0.583333333,23.33333333,40,-0.750951579,2.962687805,23.45
0.604166667,24.16666667,40,2.092199901,2.857279971,24.2875
0.625,25,40,3.117066114,1.961679964,25.125
0.645833333,25.83333333,40,1.516035005,1.748499266,25.9625
0.666666667,26.66666667,40,-1.216253151,2.869348603,26.8
0.6875,27.5,40,-2.811992194,3.502561562,27.6375
0.708333333,28.33333333,40,-2.393120166,3.303129759,28.475
0.729166667,29.16666667,40,-1.19279683,2.513936889,29.3125
0.75,30,40,-1.14906746,1.293898779,30.15
0.770833333,30.83333333,40,-2.772724474,1.589289231,30.9875
0.791666667,31.66666667,40,-5.057427999,3.339084833,31.825
0.8125,32.5,40,-6.275682452,4.57995506,32.6625
0.833333333,33.33333333,40,-5.520076485,5.043098491,33.5
0.854166667,34.16666667,40,-2.871681279,4.885264563,34.3375
0.875,35,40,0.935136864,4.34808412,35.175
0.895833333,35.83333333,40,4.816656827,3.598687771,36.0125
0.916666667,36.66666667,40,7.674822426,2.920508663,36.85
0.9375,37.5,40,8.791169364,3.420042082,37.6875
0.958333333,38.33333333,40,8.111804007,5.686181378,38.525
0.979166667,39.16666667,40,6.287330165,8.760681488,39.3625
1,40,40,4.395966051,11.77649671,40.2
0,0,50,2.6583651,0.650308625,0
0.020833333,1.041666667,50,0.793189886,0.309205991,1.020833333
0.041666667,2.083333333,50,-1.162342264,0.655714655,2.041666667
0.0625,3.125,50,-0.807979018,0.371188273,3.0625
0.083333333,4.166666667,50,-0.942681126,0.534725916,4.083333333
0.104166667,5.208333333,50,-0.233855365,0.262951233,5.104166667
0.125,6.25,50,2.268295578,0.453356562,6.125
0.145833333,7.291666667,50,1.759406611,0.431529917,7.145833333
0.166666667,8.333333333,50,-1.869781175,0.521841231,8.166666667
0.1875,9.375,50,-2.812202582,0.799040108,9.1875
0.208333333,10.41666667,50,-0.223423493,0.578563294,10.20833333
0.229166667,11.45833333,50,0.601501003,0.594266804,11.22916667
0.25,12.5,50,-1.216109629,0.537898522,12.25
0.270833333,13.54166667,50,-1.003972603,0.716916206,13.27083333
0.291666667,14.58333333,50,2.32810742,0.480850135,14.29166667
0.3125,15.625,50,4.05512094,0.886865308,15.3125
0.333333333,16.66666667,50,1.654660925,1.189281011,16.33333333
0.354166667,17.70833333,50,-1.527225219,0.819041951,17.35416667
0.375,18.75,50,-2.061319581,0.439663361,18.375
0.395833333,19.79166667,50,-0.695800053,0.841916939,19.39583333
0.416666667,20.83333333,50,0.359979929,0.999500874,20.41666667
0.4375,21.875,50,0.820430167,1.071048966,21.4375
0.458333333,22.91666667,50,1.778412179,1.062510919,22.45833333
0.479166667,23.95833333,50,3.034089099,1.060930521,23.47916667
0.5,25,50,2.864407404,1.093635833,24.5
0.520833333,26.04166667,50,0.493414145,0.923282232,25.52083333
0.541666667,27.08333333,50,-2.308709103,1.369831958,26.54166667
0.5625,28.125,50,-2.984237399,2.327307387,27.5625
0.583333333,29.16666667,50,-0.901555922,2.972608576,28.58333333
0.604166667,30.20833333,50,1.903496583,2.847163587,29.60416667
0.625,31.25,50,2.920471036,1.946195112,30.625
0.645833333,32.29166667,50,1.349640274,1.748861187,31.64583333
0.666666667,33.33333333,50,-1.341345928,2.876573828,32.66666667
0.6875,34.375,50,-2.920724416,3.513338498,33.6875
0.708333333,35.41666667,50,-2.516824194,3.310292101,34.70833333
0.729166667,36.45833333,50,-1.329158619,2.502465795,35.72916667
0.75,37.5,50,-1.250854007,1.266128921,36.75
