FD.arg,absflwno,FD.vd,value,se,x
0.083333333,1.666666667,20,-7.430218683,1.762511231,1.663333333
0.104166667,2.083333333,20,-2.889915984,0.765390323,2.079166667
0.125,2.5,20,10.87610381,1.286917919,2.495
0.145833333,2.916666667,20,6.205727426,1.131156423,2.910833333
0.166666667,3.333333333,20,-9.790877851,1.146926461,3.326666667
0.1875,3.75,20,-7.557227916,1.74636753,3.7425
0.208333333,4.166666667,20,8.523824201,1.625134456,4.158333333
0.229166667,4.583333333,20,8.984527748,1.608984198,4.574166667
0.25,5,20,-5.134731472,1.188361374,4.99
0.270833333,5.416666667,20,-7.64859278,1.906496029,5.405833333
0.291666667,5.833333333,20,4.539984838,1.487416685,5.821666667
0.3125,6.25,20,7.962562824,1.767959019,6.2375
0.333333333,6.666666667,20,-5.055567446,2.675759649,6.653333333
0.354166667,7.083333333,20,-15.46835861,2.29735447,7.069166667
0.375,7.5,20,-11.02430402,2.663410753,7.485
0.395833333,7.916666667,20,-2.181230132,3.614390418,7.900833333
0.416666667,8.333333333,20,-0.564426248,3.393395594,8.316666667
0.4375,8.75,20,-2.795393485,3.201615797,8.7325
0.458333333,9.166666667,20,1.288845807,2.850573616,9.148333333
0.479166667,9.583333333,20,10.95940734,3.939658118,9.564166667
0.5,10,20,14.11042534,5.57843489,9.98
0.520833333,10.41666667,20,3.899343628,4.557623014,10.39583333
0.541666667,10.83333333,20,-10.26991722,4.618514755,10.81166667
0.5625,11.25,20,-13.27136907,9.75152534,11.2275
0.583333333,11.66666667,20,-0.623168242,13.58707551,11.64333333
0.604166667,12.08333333,20,16.4717499,13.28030986,12.05916667
0.625,12.5,20,23.62076713,9.520192812,12.475
0.645833333,12.91666667,20,15.91440285,8.720134345,12.89083333
0.666666667,13.33333333,20,1.194581405,12.67149788,13.30666667
0.6875,13.75,20,-8.548136797,14.67673851,13.7225
0.708333333,14.16666667,20,-8.663079556,13.49920491,14.13833333
0.729166667,14.58333333,20,-5.133418442,10.29138043,14.55416667
0.75,15,20,-6.931537649,6.389497488,14.97
0.770833333,15.41666667,20,-16.1302689,7.577980437,15.38583333
0.791666667,15.83333333,20,-26.71774283,13.22539781,15.80166667
0.8125,16.25,20,-29.84215007,17.652163,16.2175
0.833333333,16.66666667,20,-21.24246242,19.77987148,16.63333333
0.854166667,17.08333333,20,-4.080971291,20.2931298,17.04916667
0.875,17.5,20,16.5600117,19.17002883,17.465
0.895833333,17.91666667,20,34.61376913,16.27451673,17.88083333
0.916666667,18.33333333,20,44.69585645,13.43374207,18.29666667
0.9375,18.75,20,44.01452879,17.35522203,18.7125
0.958333333,19.16666667,20,33.49031235,29.36424005,19.12833333
0.979166667,19.58333333,20,17.38102726,44.43283291,19.54416667
1,20,20,1.134639673,59.18872055,19.96
0,0,30,2.350570442,1.891658932,0
0.020833333,0.625,30,0.786794687,0.816844696,0.626666667
0.041666667,1.25,30,1.401530087,1.960962592,1.253333333
0.0625,1.875,30,0.125181039,1.060376851,1.88
0.083333333,2.5,30,-7.087949546,1.761396663,2.506666667
0.104166667,3.125,30,-2.556487332,0.74439567,3.133333333
0.125,3.75,30,11.02063645,1.294154044,3.76
0.145833333,4.375,30,6.414272284,1.149082309,4.386666667
0.166666667,5,30,-9.549201112,1.150507073,5.013333333
0.1875,5.625,30,-7.73794721,1.891250198,5.64
0.208333333,6.25,30,7.902908747,1.855503969,6.266666667
0.229166667,6.875,30,8.456780747,1.69909579,6.893333333
0.25,7.5,30,-5.230715666,1.267535562,7.52
0.270833333,8.125,30,-7.426831366,2.021721859,8.146666667
0.291666667,8.75,30,5.186304292,1.64943278,8.773333333
0.3125,9.375,30,9.412165568,2.251932783,9.4
0.333333333,10,30,-2.693902741,3.2858204,10.02666667
0.354166667,10.625,30,-12.16762033,2.375505182,10.65333333
0.375,11.25,30,-6.722215363,1.734239633,11.28
0.395833333,11.875,30,3.128301808,2.959669387,11.90666667
0.416666667,12.5,30,4.735042977,3.020557458,12.53333333
0.4375,13.125,30,1.112967959,3.287344873,13.16
0.458333333,13.75,30,3.01706078,3.128628091,13.78666667
0.479166667,14.375,30,10.38851438,3.377162794,14.41333333
0.5,15,30,11.38693426,4.710115572,15.04
0.520833333,15.625,30,-0.76938797,3.94586196,15.66666667
0.541666667,16.25,30,-16.16581413,5.016181484,16.29333333
0.5625,16.875,30,-18.97916665,10.52145757,16.92
0.583333333,17.5,30,-4.619127498,14.37570307,17.54666667
0.604166667,18.125,30,14.51442698,13.69302494,18.17333333
0.625,18.75,30,22.81473002,9.113601501,18.8
0.645833333,19.375,30,14.78823726,8.753554115,19.42666667
0.666666667,20,30,-1.047937178,14.03436328,20.05333333
0.6875,20.625,30,-11.23953767,16.57445255,20.68
0.708333333,21.25,30,-10.33482141,15.25664059,21.30666667
0.729166667,21.875,30,-5.150698814,11.37082454,21.93333333
0.75,22.5,30,-6.413673599,6.017605,22.56
0.770833333,23.125,30,-16.47817518,7.442460323,23.18666667
0.791666667,23.75,30,-28.86725801,14.68442532,23.81333333
0.8125,24.375,30,-33.47870615,20.01534371,24.44
0.833333333,25,30,-25.7579857,22.55458167,25.06666667
0.854166667,25.625,30,-7.823800866,23.01966906,25.69333333
0.875,26.25,30,14.92272137,21.7025379,26.32
0.895833333,26.875,30,35.49330651,18.35161186,26.94666667
0.916666667,27.5,30,47.34841465,13.81849958,27.57333333
0.9375,28.125,30,46.80872563,15.16754187,28.2
0.958333333,28.75,30,34.6190133,27.16478426,28.82666667
0.979166667,29.375,30,15.83137459,43.24507297,29.45333333
1,30,30,-2.390429613,58.78067906,30.08
0,0,40,2.350570442,1.891658932,0
0.020833333,0.833333333,40,0.810613853,0.815959395,0.8375
0.041666667,1.666666667,40,1.450063672,1.9539393,1.675
0.0625,2.5,40,0.201974769,1.064202926,2.5125
0.083333333,3.333333333,40,-6.900957816,1.75610423,3.35
0.104166667,4.166666667,40,-2.368491564,0.734236035,4.1875
0.125,5,40,11.0183524,1.291179338,5.025
0.145833333,5.833333333,40,6.457183389,1.14886575,5.8625
0.166666667,6.666666667,40,-9.320019483,1.147347606,6.7
0.1875,7.5,40,-7.701320973,1.946935567,7.5375
0.208333333,8.333333333,40,7.508027283,1.958298611,8.375
0.229166667,9.166666667,40,8.106825802,1.756122178,9.2125
0.25,10,40,-5.117100142,1.32354959,10.05
0.270833333,10.83333333,40,-7.109124803,2.04536171,10.8875
0.291666667,11.66666667,40,5.396687145,1.7079794,11.725
0.3125,12.5,40,9.855359518,2.454629812,12.5625
0.333333333,13.33333333,40,-1.529094629,3.536333476,13.4
0.354166667,14.16666667,40,-10.34789548,2.530399678,14.2375
0.375,15,40,-4.688112721,1.512482924,15.075
0.395833333,15.83333333,40,5.257839212,2.885046257,15.9125
0.416666667,16.66666667,40,6.890526854,3.28493904,16.75
0.4375,17.5,40,2.953426408,3.842492944,17.5875
0.458333333,18.33333333,40,3.944917644,3.807473961,18.425
0.479166667,19.16666667,40,9.994129276,3.601560014,19.2625
0.5,20,40,9.880598847,4.476171567,20.1
0.520833333,20.83333333,40,-2.723376073,3.919611927,20.9375
0.541666667,21.66666667,40,-18.0973211,5.484885901,21.775
0.5625,22.5,40,-20.72853383,10.89784058,22.6125
0.583333333,23.33333333,40,-6.243055374,14.65156406,23.45
0.604166667,24.16666667,40,13.10426853,13.83229925,24.2875
0.625,25,40,21.6432928,9.07122517,25.125
0.645833333,25.83333333,40,13.81794082,8.798973231,25.9625
0.666666667,26.66666667,40,-1.907160739,14.34255868,26.8
0.6875,27.5,40,-12.02834117,17.01446267,27.6375
0.708333333,28.33333333,40,-10.98820529,15.66773752,28.475
0.729166667,29.16666667,40,-5.590523533,11.58560118,29.3125
0.75,30,40,-6.717850235,5.86225157,30.15
0.770833333,30.83333333,40,-16.79304193,7.446564458,30.9875
0.791666667,31.66666667,40,-29.40896671,15.12410065,31.825
0.8125,32.5,40,-34.34476005,20.75461289,32.6625
0.833333333,33.33333333,40,-27.10365608,23.53654872,33.5
0.854166667,34.16666667,40,-9.191579055,24.07291955,34.3375
0.875,35,40,14.01898869,22.73054365,35.175
0.895833333,35.83333333,40,35.26848308,19.26766925,36.0125
0.916666667,36.66666667,40,47.65606151,14.25554849,36.85
0.9375,37.5,40,47.19582061,14.51893558,37.6875
0.958333333,38.33333333,40,34.52000081,26.32044815,38.525
0.979166667,39.16666667,40,14.86000756,42.69319291,39.3625
1,40,40,-4.07524866,58.49511883,40.2
0,0,50,2.350570442,1.891658932,0
0.020833333,1.041666667,50,0.823458239,0.815489959,1.020833333
0.041666667,2.083333333,50,1.475716448,1.949550114,2.041666667
0.0625,3.125,50,0.239669097,1.065844284,3.0625
