"PlantID","pos_scaled","total_flw","B_pred"
8,0.414141414141414,17,6.42907536177383
8,0.424242424242424,17,6.38408870662322
8,0.434343434343434,17,6.33958552011067
8,0.444444444444444,17,6.29555475899362
8,0.454545454545455,17,6.25198907715176
8,0.464646464646465,17,6.20888415885214
8,0.474747474747475,17,6.16623834363919
8,0.484848484848485,17,6.12405214667593
8,0.494949494949495,17,6.08232735802129
8,0.505050505050505,17,6.0410668874013
8,0.515151515151515,17,6.00027384088398
8,0.525252525252525,17,5.95995104461181
8,0.535353535353535,17,5.92010046609647
8,0.545454545454546,17,5.88072295876745
8,0.555555555555556,17,5.84181737473105
8,0.565656565656566,17,5.80338014915698
8,0.575757575757576,17,5.7654052712883
8,0.585858585858586,17,5.72788361762224
8,0.595959595959596,17,5.69080394423966
8,0.606060606060606,17,5.65415161733845
8,0.616161616161616,17,5.61790888628937
8,0.626262626262626,17,5.58205554737053
8,0.636363636363636,17,5.54657011679754
8,0.646464646464647,17,5.51142851176634
8,0.656565656565657,17,5.47660363027063
8,0.666666666666667,17,5.442066466586
8,0.676767676767677,17,5.40778700706977
8,0.686868686868687,17,5.37373538048677
8,0.696969696969697,17,5.33988247353554
8,0.707070707070707,17,5.3062004078888
8,0.717171717171717,17,5.27266334706316
8,0.727272727272727,17,5.23924910188868
8,0.737373737373737,17,5.20593876288487
8,0.747474747474748,17,5.17271791876136
8,0.757575757575758,17,5.13957714196759
8,0.767676767676768,17,5.10651080308094
8,0.777777777777778,17,5.07351808436401
8,0.787878787878788,17,5.04060385771845
8,0.797979797979798,17,5.00777665620037
8,0.808080808080808,17,4.97504775979468
8,0.818181818181818,17,4.94243041029231
8,0.828282828282828,17,4.90993953763147
8,0.838383838383838,17,4.87759174488416
8,0.848484848484849,17,4.84540404974334
8,0.858585858585859,17,4.81339301824417
8,0.868686868686869,17,4.78157385370367
8,0.878787878787879,17,4.74995999302437
8,0.888888888888889,17,4.7185624053589
8,0.898989898989899,17,4.68738904309964
8,0.909090909090909,17,4.65644447823821
8,0.919191919191919,17,4.62572998846652
8,0.929292929292929,17,4.59524476084522
8,0.939393939393939,17,4.56498527300304
8,0.94949494949495,17,4.53494625980932
8,0.95959595959596,17,4.50512140884172
8,0.96969696969697,17,4.47550380882783
8,0.97979797979798,17,4.44608699744883
8,0.98989898989899,17,4.41686647091057
8,1,17,4.3878393774942
32,0,31,5.94698398664203
32,0.0101010101010101,31,5.89011170680562
32,0.0202020202020202,31,5.83379254355171
32,0.0303030303030303,31,5.77803155869758
32,0.0404040404040404,31,5.72285119468267
32,0.0505050505050505,31,5.66829768474403
32,0.0606060606060606,31,5.61443090443395
32,0.0707070707070707,31,5.5613252057459
32,0.0808080808080808,31,5.50906236956466
32,0.0909090909090909,31,5.45772660559734
32,0.101010101010101,31,5.40740592246067
32,0.111111111111111,31,5.35818732455908
32,0.121212121212121,31,5.3101546639548
32,0.131313131313131,31,5.26338687997025
32,0.141414141414141,31,5.21795612782329
32,0.151515151515152,31,5.17392769467083
32,0.161616161616162,31,5.13135783841747
32,0.171717171717172,31,5.09029106977963
32,0.181818181818182,31,5.05076078320465
32,0.191919191919192,31,5.01278859031848
32,0.202020202020202,31,4.97638093379042
32,0.212121212121212,31,4.94153316431833
32,0.222222222222222,31,4.90823188618491
32,0.232323232323232,31,4.87645392590186
32,0.242424242424242,31,4.84616578100369
32,0.252525252525253,31,4.81732184521156
32,0.262626262626263,31,4.78986860117127
32,0.272727272727273,31,4.76374588805779
32,0.282828282828283,31,4.73888377501297
32,0.292929292929293,31,4.71520430115671
32,0.303030303030303,31,4.69262464016043
32,0.313131313131313,31,4.67105602316819
32,0.323232323232323,31,4.65040778394768
32,0.333333333333333,31,4.63058864722603
32,0.343434343434343,31,4.61150800425881
32,0.353535353535354,31,4.59307738115052
32,0.363636363636364,31,4.5752119687022
32,0.373737373737374,31,4.55783254067307
32,0.383838383838384,31,4.54086772838802
32,0.393939393939394,31,4.52425349702292
32,0.404040404040404,31,4.50793087008883
32,0.414141414141414,31,4.49184745622969
32,0.424242424242424,31,4.47595892889593
32,0.434343434343434,31,4.46022968726085
32,0.444444444444444,31,4.44463023920968
32,0.454545454545455,31,4.42914093055467
32,0.464646464646465,31,4.41375054427734
32,0.474747474747475,31,4.39845577888876
32,0.484848484848485,31,4.38326018646389
32,0.494949494949495,31,4.36817182884
32,0.505050505050505,31,4.35320317804721
32,0.515151515151515,31,4.33836795578334
32,0.525252525252525,31,4.32367986147988
32,0.535353535353535,31,4.30915174447364
32,0.545454545454546,31,4.29479464786466
32,0.555555555555556,31,4.28061562860205
32,0.565656565656566,31,4.26661665581551
32,0.575757575757576,31,4.25279433552663
32,0.585858585858586,31,4.23913835081204
32,0.595959595959596,31,4.22563355719321
32,0.606060606060606,31,4.21225727115612
32,0.616161616161616,31,4.19897985339794
32,0.626262626262626,31,4.18576615193391
32,0.636363636363636,31,4.17257795978307
32,0.646464646464647,31,4.15937165713699
32,0.656565656565657,31,4.14609754797687
32,0.666666666666667,31,4.13270225411132
32,0.676767676767677,31,4.11913054147456
32,0.686868686868687,31,4.10532732424102
32,0.696969696969697,31,4.09123937228263
32,0.707070707070707,31,4.07681674417771
32,0.717171717171717,31,4.06201427459059
32,0.727272727272727,31,4.04679560220133
32,0.737373737373737,31,4.03113192457926
32,0.747474747474748,31,4.01500465115686
32,0.757575757575758,31,3.99840645598535
32,0.767676767676768,31,3.981338465008
32,0.777777777777778,31,3.96381243351085
32,0.787878787878788,31,3.94585268399211
32,0.797979797979798,31,3.92749164251478
