"FL.arg","FL.vd","value","se","x","z1","z2","z_LDH"
"57",0.25,9.84,-0.131821199973302,0.16734277335433,2.46,0.26966095809036,0.0241475011178568,-0.787731655995596
"58",0.5,9.84,0.0854988904253581,0.389278234028587,4.92,0.42625159242865,0.17293918493374,0.219634397588948
"59",0.75,9.84,1.39986836827336,0.583040610276528,7.38,1.37332440982692,1.07284331899908,2.40097918326722
"60",1,9.84,-2.55949627763514,1.73823970066581,9.84,-1.47960750430058,-1.63799915960057,-1.47246451490824
"61",0,10.28,0.370499110524646,0.189141281976427,0,0.631609344535378,0.373047795663062,1.95884846847355
"62",0.25,10.28,-0.138969228790596,0.167085085370601,2.57,0.264510424770063,0.0349459820644892,-0.831727311162198
"63",0.5,10.28,0.0963229802911788,0.376869910468491,5.14,0.43405092241749,0.191094493124247,0.25558681554449
"64",0.75,10.28,1.39087217780999,0.563123076642694,7.71,1.36684217816254,1.0502046628788,2.4699257329362
"65",1,10.28,-2.67686275354704,1.73596662825973,10.28,-1.56417626588806,-1.6492929337306,-1.54200127466191
"66",0,10.72,0.370499110524646,0.189141281976427,0,0.631609344535378,0.378322694753493,1.95884846847355
"67",0.25,10.72,-0.149417119654678,0.164451542546816,2.68,0.256982166085361,0.043954550146675,-0.908578401519958
"68",0.5,10.72,0.108141572511623,0.365202413078207,5.36,0.442566844021378,0.209595507339531,0.296114068908041
"69",0.75,10.72,1.38042099493719,0.542097521974624,8.04,1.35931154741121,1.02782291630336,2.54644402340914
"70",1,10.72,-2.79845954050761,1.73990872758793,10.72,-1.65179319062209,-1.65969566854306,-1.60839444974057
"71",0,11.16,0.370499110524646,0.189141281976427,0,0.631609344535378,0.382401988674852,1.95884846847355
"72",0.25,11.16,-0.162500354044871,0.16003739463738,2.79,0.247555002823103,0.0495593570263405,-1.01538989942364
"73",0.5,11.16,0.118892334623131,0.353280382765347,5.58,0.450313337479819,0.22528089006494,0.336538173143061
"74",0.75,11.16,1.3757354060065,0.522533125729481,8.37,1.35593533243929,1.01014275814638,2.63281950610482
"75",1,11.16,-2.91193907592249,1.74474003225601,11.16,-1.73356120573028,-1.66738499391251,-1.66898163742895
"76",0,11.6,0.370499110524646,0.189141281976427,0,0.631609344535378,0.385014309088671,1.95884846847355
"77",0.25,11.6,-0.177750254178537,0.154384283840818,2.9,0.236566642146713,0.0516140506240481,-1.15134941042192
"78",0.5,11.6,0.127645526342492,0.340378267416394,5.8,0.456620475679996,0.237330694755209,0.375010799929653
"79",0.75,11.6,1.3789111626323,0.504997524199314,8.7,1.35822363327528,0.998247739816951,2.73053054035978
"80",1,11.6,-3.01243216905086,1.74697014481779,11.6,-1.805971801413,-1.67220679428488,-1.7243753008527
"81",0,12.04,0.370499110524646,0.189141281976427,0,0.631609344535378,0.386423866077899,1.95884846847355
