"Branch","flw_date","emmean","SE","df","lower.CL","upper.CL"
"8","6",4.29406123297826,0.374971747576911,693,3.55784430601781,5.03027815993872
"9","6",4.29849884723391,0.525057606571797,693,3.26760438628999,5.32939330817783
"10","6",4.61031982437329,0.575040311076268,693,3.48128966827568,5.7393499804709
"1","7",3.94928533792021,0.189079517956856,693,3.57804792453933,4.32052275130109
"2","7",4.07974462886549,0.177898593905598,693,3.73045976417338,4.4290294935576
"3","7",4.06319412396934,0.171387803842015,693,3.72669249930443,4.39969574863424
"4","7",3.66744627330439,0.171117890282961,693,3.33147459504818,4.0034179515606
"5","7",3.82960643656678,0.181693386277154,693,3.47287090286749,4.18634197026607
"6","7",3.99157263198688,0.211390319707141,693,3.57653034528218,4.40661491869158
"7","7",4.03384918190732,0.238600091331357,693,3.56538341842623,4.5023149453884
"8","7",3.93004576868601,0.37314668032525,693,3.19741216610185,4.66267937127017
"9","7",3.93448338294166,0.517057348459931,693,2.91929657325431,4.949670192629
"10","7",4.24630436008104,0.567574462578415,693,3.13193259911255,5.36067612104952
"1","8",3.5270682977849,0.188076562763005,693,3.15780007967131,3.89633651589849
"2","8",3.65752758873018,0.175638884329774,693,3.31267942213729,4.00237575532307
"3","8",3.64097708383403,0.171245905294607,693,3.30475406179235,3.9772001058757
"4","8",3.24522923316908,0.173999314316739,693,2.90360018696149,3.58685827937668
"5","8",3.40738939643147,0.178099605920702,693,3.05770986614389,3.75706892671905
"6","8",3.56935559185157,0.207499841607571,693,3.16195184284839,3.97675934085475
"7","8",3.61163214177201,0.221125826892866,693,3.17747522782141,4.04578905572261
"8","8",3.5078287285507,0.3630071840324,693,2.79510294262176,4.22055451447964
"9","8",3.51226634280635,0.509422841743941,693,2.51206907062317,4.51246361498953
"10","8",3.82408731994573,0.559420661580553,693,2.72572467527063,4.92244996462083
"1","9",3.58143275381743,0.210561900585014,693,3.16801697946804,3.99484852816681
"2","9",3.71189204476271,0.20081195150606,693,3.31761925277216,4.10616483675326
"3","9",3.69534153986655,0.189333066046466,693,3.32360631192611,4.067076767807
"4","9",3.29959368920161,0.192503140407176,693,2.92163435926106,3.67755301914216
"5","9",3.46175385246399,0.20550904892169,693,3.05825881200456,3.86524889292343
"6","9",3.6237200478841,0.214366186421435,693,3.2028349651245,4.0446051306437
"7","9",3.66599659780453,0.227664559489893,693,3.21900158165048,4.11299161395859
"8","9",3.56219318458323,0.367963472102628,693,2.83973625705289,4.28465011211356
"9","9",3.56663079883888,0.511600457239697,693,2.56215801150356,4.57110358617419
"10","9",3.87845177597826,0.560940659573655,693,2.777104777792,4.97979877416452
"1","10",3.27060848239745,0.241048252665351,693,2.79733601594297,3.74388094885193
"2","10",3.40106777334273,0.233725359461492,693,2.94217302458523,3.85996252210023
"3","10",3.38451726844658,0.221597071558373,693,2.94943511599007,3.81959942090309
"4","10",2.98876941778163,0.230503403378713,693,2.53620063523731,3.44133820032596
"5","10",3.15092958104402,0.234265474321399,693,2.69097437451887,3.61088478756917
"6","10",3.31289577646412,0.239298633173685,693,2.84305850077755,3.78273305215069
"7","10",3.35517232638456,0.220127189507868,693,2.92297613014531,3.78736852262381
"8","10",3.25136891316325,0.376835120040056,693,2.51149345364011,3.9912443726864
"9","10",3.2558065274189,0.518896026229997,693,2.23700967055788,4.27460338427992
"10","10",3.56762750455828,0.562573371602224,693,2.46307485090584,4.67218015821072
"1","11",3.87111032412055,0.254803941310206,693,3.3708300340426,4.3713906141985
"2","11",4.00156961506583,0.24746145691729,693,3.5157055078895,4.48743372224216
"3","11",3.98501911016968,0.237183964233963,693,3.51933376080396,4.45070445953539
"4","11",3.58927125950473,0.224894603092387,693,3.14771475651858,4.03082776249089
"5","11",3.75143142276712,0.245004147609999,693,3.27039197963147,4.23247086590277
"6","11",3.91339761818722,0.233016449833746,693,3.45589473767314,4.3709004987013
"7","11",3.95567416810766,0.25169257087289,693,3.46150272115402,4.44984561506129
"8","11",3.85187075488635,0.373743001002045,693,3.11806634042372,4.58567516934898
"9","11",3.856308369142,0.516716971595601,693,2.84178985302793,4.87082688525606
"10","11",4.16812934628138,0.566566512829587,693,3.05573658685477,5.28052210570799
"1","12",3.83804883882286,0.26934600305567,693,3.30921676563299,4.36688091201273
"2","12",3.96850812976814,0.261737635950905,693,3.45461427175116,4.48240198778512
"3","12",3.95195762487199,0.255231449940528,693,3.45083796731609,4.45307728242788
"4","12",3.55620977420704,0.240002068967906,693,3.08499137756381,4.02742817085027
"5","12",3.71836993746943,0.250937902645898,693,3.22568020087541,4.21105967406344
"6","12",3.88033613288953,0.245240309705442,693,3.39883301073461,4.36183925504445
"7","12",3.92261268280997,0.264787370950624,693,3.40273099625911,4.44249436936082
"8","12",3.81880926958866,0.333234975227604,693,3.16453803181364,4.47308050736369
"9","12",3.82324688384431,0.519974791867378,693,2.80233198601728,4.84416178167133
"10","12",4.13506786098369,0.572814929176253,693,3.01040700426484,5.25972871770253
"1","13",3.4412329399199,0.291464583079501,693,2.86897340020994,4.01349247962985
"2","13",3.57169223086518,0.27765980595474,693,3.02653689475948,4.11684756697089
"3","13",3.55514172596903,0.271524853401297,693,3.02203171313136,4.0882517388067
"4","13",3.15939387530408,0.261373120364537,693,2.6462157046597,3.67257204594846
"5","13",3.32155403856647,0.251904466473827,693,2.82696655726047,3.81614151987247
"6","13",3.48352023398657,0.25505938599907,693,2.98273840557924,3.9843020623939
"7","13",3.52579678390701,0.258442554450764,693,3.01837246604017,4.03322110177385
"8","13",3.4219933706857,0.321127833792381,693,2.79149321038335,4.05249353098805
"9","13",3.42643098494135,0.521928904481777,693,2.40167939596838,4.45118257391432
"10","13",3.73825196208073,0.574815783104207,693,2.60966264264528,4.86684128151618
"1","14",3.20459981235122,0.401197444553235,693,2.41689153394876,3.99230809075368
"2","14",3.3350591032965,0.392702314758626,693,2.56403010377821,4.1060881028148
"3","14",3.31850859840035,0.383479378044174,693,2.56558784882179,4.0714293479789
"4","14",2.9227607477354,0.373528097364448,693,2.18937827358344,3.65614322188736
"5","14",3.08492091099779,0.35783058106369,693,2.38235883141298,3.78748299058259
"6","14",3.24688710641789,0.329896179216578,693,2.59917123756031,3.89460297527547
"7","14",3.28916365633833,0.361927980939697,693,2.57855677027214,3.99977054240452
"8","14",3.18536024311702,0.411719179804168,693,2.37699366274171,3.99372682349234
"9","14",3.18979785737267,0.4551181470524,693,2.29622204588269,4.08337366886265
"10","14",3.50161883451205,0.604347062560084,693,2.31504800593435,4.68818966308975
"1","15",3.52020368113918,0.397510771023864,693,2.73973379195948,4.30067357031888
"2","15",3.65066297208446,0.390267308788766,693,2.88441484638891,4.41691109778001
"3","15",3.63411246718831,0.381927203052141,693,2.88423924721731,4.3839856871593
"4","15",3.23836461652336,0.374592447762947,693,2.50289240418538,3.97383682886135
"5","15",3.40052477978575,0.369383003222338,693,2.67528075470625,4.12576880486525
"6","15",3.56249097520585,0.330471879482859,693,2.91364478044071,4.211337169971
"7","15",3.60476752512629,0.333340968852155,693,2.9502881802044,4.25924687004818
"8","15",3.50096411190498,0.437686464929579,693,2.64161354412242,4.36031467968755
"9","15",3.50540172616063,0.450915214886864,693,2.62007792251692,4.39072552980434
"10","15",3.81722270330001,0.589030644268617,693,2.66072402410277,4.97372138249725
"1","16",3.26388099114312,0.410270646885119,693,2.45835845024853,4.06940353203772
"2","16",3.3943402820884,0.40446196181758,693,2.60022247314425,4.18845809103255
"3","16",3.37778977719225,0.398310448381525,693,2.59574980703812,4.15982974734637
"4","16",2.98204192652731,0.393749941112721,693,2.20895602469571,3.75512782835891
"5","16",3.14420208978969,0.392331419913951,693,2.37390130263549,3.91450287694389
"6","16",3.30616828520979,0.356106762761791,693,2.60699073851597,4.00534583190362
"7","16",3.34844483513023,0.355203982779625,693,2.65103980038827,4.04584986987219
"8","16",3.24464142190892,0.465125934513651,693,2.33141638996965,4.1578664538482
"9","16",3.24907903616457,0.566922375452044,693,2.13598757853464,4.3621704937945
"10","16",3.56090001330395,0.478621304963485,693,2.62117826467876,4.50062176192915
"1","17",2.90225182096055,0.54178561736744,693,1.83851369970965,3.96598994221145
"2","17",3.03271111190583,0.536177511056093,693,1.97998390766745,4.08543831614422
"3","17",3.01616060700968,0.529285855383624,693,1.97696443169185,4.05535678232751
"4","17",2.62041275634474,0.523736815445384,693,1.59211152753238,3.64871398515709
"5","17",2.78257291960712,0.520032174574536,693,1.76154535697109,3.80360048224315
"6","17",2.94453911502722,0.500602469669371,693,1.96165970016356,3.92741852989088
"7","17",2.98681566494766,0.473025743803365,693,2.05808020227212,3.9155511276232
"8","17",2.88301225172635,0.5681221853979,693,1.76756509557518,3.99845940787753
"9","17",2.887449865982,0.652904050045803,693,1.60554258515103,4.16935714681297
"10","17",3.19927084312138,0.478059182272824,693,2.26065276228601,4.13788892395676
