"banner.arg","banner.vd","value","se","x","z1","z2","z_LDH"
"45",1,8.52,1.06337629765849,1.62428115929922,8.52,0.220298599528586,1.51817138274808,0.654675018281485
"46",0,8.96,-0.398384506180613,0.329412573058031,0,-0.514416229956012,-0.708391397388462,-1.209378568894
"47",0.25,8.96,0.273316630200887,0.299768950231177,2.24,-0.176803684466343,0.201024161834677,0.911757638641725
"48",0.5,8.96,-0.505053929717126,0.552776444017829,4.48,-0.568030752331368,-0.852811033150955,-0.913667605019791
"49",0.75,8.96,-0.0746053712688655,0.433284088669821,6.72,-0.351677339111091,-0.270027120342911,-0.172185808848655
"50",1,8.96,1.32892057789903,1.5687404142438,8.96,0.353767303891939,1.63020538904765,0.847125863420574
"51",0,9.4,-0.398384506180613,0.329412573058031,0,-0.514416229956012,-0.702726885034784,-1.209378568894
"52",0.25,9.4,0.254164990940566,0.288917767811312,2.35,-0.186429741846279,0.0862972505616343,0.879713950671798
"53",0.5,9.4,-0.348203440333325,0.506925357788669,4.7,-0.48919406423607,-0.642050917498009,-0.686892922169592
"54",0.75,9.4,-0.182658136561719,0.416063308698154,7.05,-0.405987161086737,-0.441883358122538,-0.439015247783444
"55",1,9.4,1.58905240373378,1.55779377603607,9.4,0.484515583336662,1.7003639100937,1.02006596006389
"56",0,9.84,-0.398384506180613,0.329412573058031,0,-0.514416229956012,-0.688415146565917,-1.209378568894
"57",0.25,9.84,0.228969173044356,0.279285758262793,2.46,-0.199093743371509,-0.00216601712385982,0.819838342164616
"58",0.5,9.84,-0.175038681722287,0.484326538734539,4.92,-0.402157446643432,-0.444101798809042,-0.361406339986308
"59",0.75,9.84,-0.30964357079381,0.411985250205062,7.38,-0.469812980888324,-0.59134328475696,-0.751588972274342
"60",1,9.84,1.80884407408529,1.55795511147102,9.84,0.594987966492869,1.72602624725578,1.16103735002826
"61",0,10.28,-0.398384506180613,0.329412573058031,0,-0.514416229956012,-0.673311408003791,-1.209378568894
"62",0.25,10.28,0.197499311514699,0.269339001785797,2.57,-0.214911224512706,-0.0653468639258412,0.733274090292235
"63",0.5,10.28,0.00707840796025633,0.477120680969842,5.14,-0.31062118014831,-0.259628289892645,0.0148356762609159
