arg,vd,value,se,x,z,sd,z2
0.1875,2,-0.076708205,0.228642969,0.375,-0.047200402,1.252329117,-0.724017507
0.208333333,2,0.267605522,0.282401789,0.416666667,0.164664108,1.546778301,-0.363590876
0.229166667,2,0.580254974,0.308940255,0.458333333,0.357044829,1.692135466,-0.147591627
0.25,2,0.571181406,0.296199685,0.5,0.351461644,1.62235249,-0.159532898
0.270833333,2,0.117592801,0.312333528,0.541666667,-1.350034445,1.710721188,-0.416436766
0.291666667,2,-0.670521822,0.432974902,0.583333333,-1.541610349,2.371501207,-0.632730786
0.3125,2,-1.530420863,0.615202151,0.625,-1.68058,3.369600955,-0.700504568
0.333333333,2,-2.194021979,0.801408992,0.666666667,-1.7756,4.389497827,-0.688922081
0.354166667,2,-2.505363474,0.961706875,0.708333333,-1.9964,5.267485491,-0.633198417
0.375,2,-2.450933106,1.077243911,0.75,-2.014,5.9003079,-0.556061338
0.395833333,2,-2.117285308,1.143247387,0.791666667,-2.3365,6.261823827,-0.47067522
0.416666667,2,-1.629603651,1.181268607,0.833333333,-1.002734285,6.470074625,-0.380150739
0.4375,2,-1.101443871,1.226824998,0.875,-0.677744881,6.719597255,-0.287434469
0.458333333,2,-0.605247256,1.287645568,0.916666667,-0.37242318,7.052725237,-0.203502505
0.479166667,2,-0.165738493,1.324799749,0.958333333,-0.101982877,7.256227067,-0.137225377
0.5,2,0.228515272,1.2934457,1,0.140610938,7.084493868,-0.084901581
0.520833333,2,0.60431455,1.209251338,1.041666667,0.371849264,6.623342355,-0.034074254
0.541666667,2,0.983230229,1.195990042,1.083333333,0.605005187,6.550707246,0.023391402
0.5625,2,1.36838744,1.399614944,1.125,0.842001674,7.666006767,0.070230494
0.583333333,2,1.742164505,1.779626108,1.166666667,1.071995683,9.747413633,0.093580158
0.604166667,2,2.074462642,2.175445914,1.208333333,1.276466712,11.915408,0.104441463
0.625,2,2.338359378,2.467239548,1.25,1.438848715,13.51362755,0.111617652
