FD.arg,FD.vd,value,se,x,z
0.625,3,1.456829131,1.349287151,1.875,0.112279682
0.645833333,3,1.587348504,1.489922574,1.9375,0.163104646
0.666666667,3,1.727921673,1.672464692,2,0.217844614
0.6875,3,1.891262046,1.894270873,2.0625,0.281450258
0.708333333,3,2.086175864,2.158146511,2.125,0.357350775
0.729166667,3,2.31418094,2.450140005,2.1875,0.44613721
0.75,3,2.568251748,2.735624657,2.25,0.545073786
0.770833333,3,2.834532479,2.974630555,2.3125,0.648764973
0.791666667,3,3.096274893,3.14105148,2.375,0.750688914
0.8125,3,3.338116582,3.233745074,2.4375,0.844863403
0.833333333,3,3.548497004,3.274456787,2.5,0.926786701
0.854166667,3,3.719672746,3.296148462,2.5625,0.99344348
0.875,3,3.846945269,3.331581436,2.625,1.043004103
0.895833333,3,3.928171337,3.406196432,2.6875,1.074633983
0.916666667,3,3.963413659,3.534120567,2.75,1.088357538
0.9375,3,3.954507573,3.717416031,2.8125,1.084889459
0.958333333,3,3.904543178,3.948880093,2.875,1.065433047
0.979166667,3,3.817352726,4.216743277,2.9375,1.031480604
1,3,3.697083585,4.508846632,3,0.984647136
0,4,0.352634548,0.711179688,0,-0.317699786
0.020833333,4,0.391263416,0.366882225,0.083333333,-0.302657492
0.041666667,4,0.437683195,0.222557811,0.166666667,-0.284581374
0.0625,4,0.654429268,0.484969938,0.25,-0.200179256
0.083333333,4,1.020804194,0.492905705,0.333333333,-0.057510837
0.104166667,4,1.268728581,0.367390837,0.416666667,0.039032289
0.125,4,1.107937525,0.349082664,0.5,-0.023580636
0.145833333,4,0.506272162,0.348115541,0.583333333,-0.257872451
0.166666667,4,-0.220541905,0.345938684,0.666666667,-0.540897862
0.1875,4,-0.587313175,0.414762057,0.75,-0.68372062
0.208333333,4,-0.254888683,0.457233987,0.833333333,-0.554272687
0.229166667,4,0.738533526,0.470451565,0.916666667,-0.167428593
0.25,4,1.978926722,0.537091587,1,0.315587366
0.270833333,4,2.897781222,0.618497419,1.083333333,0.673394383
0.291666667,4,3.067939216,0.642056319,1.166666667,0.739654845
0.3125,4,2.402800835,0.607457651,1.25,0.480646287
0.333333333,4,1.165052902,0.558311731,1.333333333,-0.001339593
0.354166667,4,-0.193011701,0.557021949,1.416666667,-0.530177449
0.375,4,-1.253377785,0.629592599,1.5,-0.943089857
0.395833333,4,-1.794921753,0.708307035,1.583333333,-1.153970068
0.416666667,4,-1.810012108,0.71572318,1.666666667,-1.159846336
0.4375,4,-1.435020239,0.660368372,1.75,-1.013822431
0.458333333,4,-0.865243256,0.648827752,1.833333333,-0.791948128
0.479166667,4,-0.277404366,0.775864203,1.916666667,-0.563040418
0.5,4,0.215128023,0.999730211,2,-0.371245586
0.520833333,4,0.56960905,1.228685959,2.083333333,-0.233208717
0.541666667,4,0.794799699,1.391125178,2.166666667,-0.145518235
0.5625,4,0.922772289,1.446888689,2.25,-0.095685002
0.583333333,4,0.986724906,1.404509076,2.333333333,-0.070781499
0.604166667,4,1.011829953,1.324780493,2.416666667,-0.061005456
0.625,4,1.0165638,1.288861126,2.5,-0.059162069
0.645833333,4,1.017973604,1.334079971,2.583333333,-0.058613084
0.666666667,4,1.035874525,1.43078574,2.666666667,-0.051642366
0.6875,4,1.093192092,1.544107783,2.75,-0.02932259
0.708333333,4,1.212098919,1.683447926,2.833333333,0.016980385
0.729166667,4,1.407767037,1.8815562,2.916666667,0.093174631
0.75,4,1.682646417,2.139450961,3,0.20021418
0.770833333,4,2.023932635,2.406075708,3.083333333,0.333112917
0.791666667,4,2.405637337,2.607788213,3.166666667,0.481750836
0.8125,4,2.795159947,2.688293852,3.25,0.633433092
0.833333333,4,3.164118117,2.643706089,3.333333333,0.77710744
0.854166667,4,3.501329274,2.553645868,3.416666667,0.908419327
0.875,4,3.795852988,2.484078893,3.5,1.023108487
0.895833333,4,4.039440888,2.496710125,3.583333333,1.117962961
0.916666667,4,4.228280841,2.637091993,3.666666667,1.191498281
0.9375,4,4.362923846,2.910744102,3.75,1.243929011
0.958333333,4,4.447260492,3.284669087,3.833333333,1.276770166
0.979166667,4,4.487018747,3.712973945,3.916666667,1.29225225
1,4,4.488332407,4.158045487,4,1.292763797
0,5,0.352634548,0.711179688,0,-0.317699786
0.020833333,5,0.425414737,0.375580561,0.104166667,-0.289358779
0.041666667,5,0.505857641,0.220771644,0.208333333,-0.258033868
0.0625,5,0.748514706,0.478939903,0.3125,-0.163541867
0.083333333,5,1.134257471,0.498214699,0.416666667,-0.013331504
0.104166667,5,1.399165557,0.383763744,0.520833333,0.089825167
0.125,5,1.240792723,0.374108742,0.625,0.028153911
